//编号	名称	模型	螺旋桨1	螺旋桨2	螺旋桨3	螺旋桨4	价格	船只耐久常数	船耐久恢复常数	船只防御力常数	船只resist常数	船只最小攻击力常数	船只最大攻击力常数	攻击距离常数	添弹时间常数	炮弹爆炸范围常数	货舱容量常数	船只补给常数	船只补给消耗常数	炮弹飞行速度常数	船移动速度常数	描述（道具等级）	备注
0001	钛半滑航船体	2000000000	0	0	0	0	31237	4286	0	78	20	0	0	0	0	0	0	200	2	0	0	0	0
0002	银甲海豚	2000010000	0	0	0	0	46200	5000	0	89	20	0	0	0	0	0	0	200	3	0	0	0	0
0003	大白鲨	2000020000	0	0	0	0	65362	5731	0	100	20	0	0	0	0	0	0	200	3	0	0	0	0
0004	罩流式船体	2001000000	0	0	0	0	31237	6082	0	127	25	0	0	0	0	0	0	200	2	0	0	0	0
0005	女神	2001010000	0	0	0	0	46200	7441	0	155	25	0	0	0	0	0	0	200	3	0	0	0	0
0006	钛直板船体	2002000000	0	0	0	0	65362	8945	0	183	25	0	0	0	0	0	0	200	3	0	0	0	0
0007	方舟	2003000000	0	0	0	0	0	1000	0	20	20	0	0	0	0	0	0	200	2	0	0	0	0
0008	普通撞角	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	300	0	0	0	0	0
0009	坚固撞角	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	330	0	0	0	0	0
0010	特制撞角	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	360	0	0	0	0	0
0011	锐利撞角	0	0	0	0	0	1350	0	0	0	0	0	0	0	0	0	0	400	0	0	0	0	0
0012	长撞角	0	0	0	0	0	1682	0	0	0	0	0	0	0	0	0	0	430	0	0	0	0	0
0013	冲击撞角	0	0	0	0	0	2067	0	0	0	0	0	0	0	0	0	0	460	0	0	0	0	0
0014	突击撞角	0	0	0	0	0	2280	0	0	0	0	0	0	0	0	0	0	1000	0	0	0	0	0
0015	半自动桨	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	450	0	0
0016	锅炉机械桨	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	460	0	0
0017	锅炉双浮筒	0	0	0	0	0	1687	0	0	0	0	0	0	0	0	0	0	0	0	0	470	0	0
0018	锅炉四浮筒	0	0	0	0	0	2335	0	0	0	0	0	0	0	0	0	0	0	0	0	480	0	0
0019	仿生划水80型	0	0	0	0	0	2850	0	0	0	0	0	0	0	0	0	0	0	0	0	490	0	0
0020	仿生划水90型	0	0	0	0	0	3758	0	0	0	0	0	0	0	0	0	0	0	0	0	500	0	0
0021	涡轮螺旋桨	2000000002	0022	0	0	0	4462	0	0	0	0	0	0	0	0	0	0	0	0	0	530	0	0
0022	绿魔螺旋桨01	2000000004	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0023	银甲螺旋桨01	2000010004	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0024	银甲螺旋桨02	2000010005	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0025	银甲螺旋桨03	2000010006	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0026	银甲螺旋桨04	2000010007	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0027	白鲨螺旋桨01	2000020004	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0028	白鲨螺旋桨02	2000020005	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0029	炎浪螺旋桨01	2001000004	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0030	炎浪螺旋桨02	2001000005	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0031	炎浪螺旋桨03	2001000006	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0032	女神螺旋桨01	2001010004	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0033	女神螺旋桨02	2001010005	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0034	女神螺旋桨03	2001010006	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0035	女神螺旋桨04	2001010007	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0036	箭鱼螺旋桨01	2002000004	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0037	箭鱼螺旋桨02	2002000005	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0038	箭鱼螺旋桨03	2002000006	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0039	箭鱼螺旋桨04	2002000007	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0040	方舟螺旋桨01	2003000004	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0041	方舟螺旋桨02	2003000005	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0042	方舟螺旋桨03	2003000006	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0043	木质蜂尾纹船身	2004000000	0	0	0	0	0	2280	0	46	10	0	0	0	0	0	0	200	1	0	0	0	0
0044	钢架木质船身	2004020000	0	0	0	0	11812	2925	0	57	15	0	0	0	0	0	0	200	1	0	0	0	0
0045	仿生飞鱼船身	2004010000	0	0	0	0	19950	3595	0	68	20	0	0	0	0	0	0	200	1	0	0	0	0
0046	后置浮筒	2004030000	0	0	0	0	6300	2795	0	62	15	0	0	0	0	0	0	200	1	0	0	0	0
0047	双翼浮筒	2004050000	0	0	0	0	11812	3766	0	82	20	0	0	0	0	0	0	200	1	0	0	0	0
0048	仿生箭鱼船身	2004040000	0	0	0	0	19950	4860	0	88	25	0	0	0	0	0	0	200	1	0	0	0	0
0049	低级船只7	2004060000	0	0	0	0	0	0	0	10	10	0	0	0	0	0	0	0	0	0	0	0	0
0050	低级船只8	2004070000	0	0	0	0	0	0	0	10	10	0	0	0	0	0	0	0	0	0	0	0	0
0051	低级船只9	2004080000	0	0	0	0	0	0	0	10	10	0	0	0	0	0	0	0	0	0	0	0	0
0052	低级船只10	2004090000	0	0	0	0	0	0	0	10	10	0	0	0	0	0	0	0	0	0	0	0	0
0053	OSM高抛舰炮	0	0	0	0	0	0	0	0	0	0	167	250	0	70	0	0	0	0	0	0	0	0
0054	OSM350mm舰炮	0	0	0	0	0	0	0	0	0	0	185	278	0	73	0	0	0	0	0	0	0	0
0055	OSM406mm舰炮	0	0	0	0	0	0	0	0	0	0	204	307	0	79	0	0	0	0	0	0	0	0
0056	OSM500mm舰炮	0	0	0	0	0	2025	0	0	0	0	215	322	0	85	0	0	0	0	0	0	0	0
0057	OSM800mm舰炮	0	0	0	0	0	2265	0	0	0	0	235	352	0	88	0	0	0	0	0	0	0	0
0058	OSM金刚级舰炮	0	0	0	0	0	2802	0	0	0	0	255	383	0	94	0	0	0	0	0	0	0	0
0059	OSM海啸级舰炮	0	0	0	0	0	3420	0	0	0	0	265	398	0	100	0	0	0	0	0	0	0	0
0060	OSM穿甲炮	0	0	0	0	0	3760	0	0	0	0	287	430	0	103	0	0	0	0	0	0	0	0
0061	OSM双管穿甲炮	0	0	0	0	0	4510	0	0	0	0	307	461	0	109	0	0	0	0	0	0	0	0
0062	OSM穿甲炮	0	0	0	0	0	5355	0	0	0	0	318	477	0	115	0	0	0	0	0	0	0	0
0063	火炮11	0	0	0	0	0	5814	0	0	0	0	340	511	0	118	0	0	0	0	0	0	0	0
0064	火炮12	0	0	0	0	0	6812	0	0	0	0	362	543	0	124	0	0	0	0	0	0	0	0
0065	火炮13	0	0	0	0	0	7920	0	0	0	0	373	560	0	130	0	0	0	0	0	0	0	0
0066	火炮14	0	0	0	0	0	8516	0	0	0	0	396	594	0	100	0	0	0	0	0	0	0	0
0067	火炮15	0	0	0	0	0	9798	0	0	0	0	419	629	0	139	0	0	0	0	0	0	0	0
0068	火炮16	0	0	0	0	0	11205	0	0	0	0	430	646	0	145	0	0	0	0	0	0	0	0
0069	火炮17	0	0	0	0	0	11956	0	0	0	0	455	682	0	148	0	0	0	0	0	0	0	0
0070	火炮18	0	0	0	0	0	13559	0	0	0	0	478	717	0	154	0	0	0	0	0	0	0	0
0071	OSM四管穿甲炮	0	0	0	0	0	1080	0	0	0	0	138	207	0	70	0	0	0	0	0	0	0	0
0072	OSM速射穿甲炮	0	0	0	0	0	1237	0	0	0	0	151	227	0	73	0	0	0	0	0	0	0	0
0073	渔网	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0074	深水机械臂	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0075	轻型装甲	0	0	0	0	0	1292	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0076	复合装甲	0	0	0	0	0	1464	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0077	配件5	0	0	0	0	0	1652	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0078	配件6	0	0	0	0	0	1856	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0079	配件7	0	0	0	0	0	2076	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0080	配件8	0	0	0	0	0	2313	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0081	配件9	0	0	0	0	0	2568	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0082	配件10	0	0	0	0	0	2842	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0083	配件11	0	0	0	0	0	3135	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0084	配件12	0	0	0	0	0	3447	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
