//ID	模型文件	中文名称	Photo名称	flag	ObjTypeID	dummy	dummy2	高度偏移	播放时间	LightID	基准值
1	wave1.par	海浪	海浪	0	0	-1	-1	1	0	0	-1
2	dian.par	电球	海浪	0	0	0	-1	0	0	0	-1
3	shuihua01.par	大水花	大水花	0	0	0	-1	0	0	0	-1
4	shuihua02.par	水花	海浪	0	0	0	-1	0	0	0	-1
5	guang.par	光	海浪	0	0	0	-1	0	0	0	-1
6	blacksmoke.par	黑烟	海浪	0	0	0	-1	0	0	0	-1
7	xieguang.par	斜光	海浪	0	0	0	-1	0	0	0	-1
8	add.par	雾	海浪	0	0	0	-1	0	0	0	-1
9	firefly.par	萤火虫	海浪	0	0	0	-1	0	0	0	-1
10	00000002.par	火焰	海浪	0	0	0	-1	0	0	0	-1
11	00000003.par	火焰2	海浪	0	0	0	-1	0	0	0	-1
12	wave2.par	海浪2	海浪	0	0	0	-1	0	0	0	-1
13	whitesmoke.par	白烟	海浪	0	0	0	-1	0	0	0	-1
14	snow.par	雪	海浪	0	0	0	-1	0	0	0	-1
15	00000007.par	沙岚火焰	海浪	0	0	0	-1	0	0	0	-1
16	sali.par	风沙	海浪	0	0	0	-1	0	0	0	-1
17	ufo2.par	灵火2	海浪	0	0	0	-1	0	0	0	-1
18	ufo.par	灵火	海浪	0	0	0	-1	0	0	0	-1
19	fjq.par	物质分解器	海浪	0	0	0	-1	0	0	0	-1
20	scq.par	物质生成器	海浪	0	0	0	-1	0	0	0	-1
21	niurou1.par	焰魔	海浪	0	0	1,2,3,4,7,11,13,14	-1	0	0	0	-1
22	niurou2.par	焰魔	海浪	0	0	5,6,8,9,10,12	-1	0	0	0	-1
23	bigchibang.par	父神维尔	海浪	1	0	24	-1	0	0	0	-1
95	00000001.par	30斜光	海浪	0	0	0	-1	0	0	0	-1
96	01030011.par	道具特效	海浪	0	0	0	-1	0	0	0	-1
97	waterwave1.par	水波	海浪	1	0	-1	-1	0	0	0	-1
98	waterwave2.par	水波2	海浪	1	0	-1	-1	0	0	0	-1
99	miss2.par	爆字	海浪	0	0	0	1	0	0	0	-1
100	wolf.par	狼嚎施放	海浪	0	0	-1	-1	0	1	0	-1
101	01030006.par	狼嚎命中	海浪	0	0	-1	1	0	1	0	-1
102	foot02.par	虎啸施放	海浪	0	0	-1	-1	20	1	0	-1
103	foot.par	虎啸命中	海浪	0	0	-2	1	0	1	0	-1
104	runatktarget.par	连珠箭命中	海浪	0	0	-1	-1	0	1	0	-1
105	yfire.par	连珠箭施放	海浪	0	0	-1	1	0	1	0	-1
106	fallstar02.par	流星箭地面命中	海浪	0	0	-1	-1	0	1	0	-1
107	fallstar01.par	流星箭人物施放	海浪	0	0	-1	1	0	1	0	-1
108	01000004.par	散射弹施放	海浪	0	0	-1	-1	0	1	0	-1
109	01020005.par	散射弹命中	海浪	0	0	-1	1	0	1	0	-1
110	01020006.par	穿透弹命中	海浪	0	0	-1	-1	0	1	0	-1
111	01010002.par	燃烧弹地面命中	海浪	0	0	-1	1	0	1	0	-1
112	01030001.par	燃烧弹地面持续	海浪	0	0	-1	-1	0	1	0	-1
113	heallight.pa	大治愈术施放	海浪	0	0	-1	1	0	1	0	-1
114	01020007.par	大治愈术命中	海浪	0	0	-1	-1	0	1	0	-1
115	01050013.par	燃烧弹人物持续	海浪	0	0	-1	-1	0	1	0	-1
116	01040024.par	虎啸人物持续	海浪	0	0	-1	-1	0	1	0	-1
117	spire01.par	狂暴施放	海浪	0	0	-1	-1	0	1	0	-1
118	ragefire.par	狂暴人物持续	海浪	0	0	-1	-1	0	1	0	-1
119	01000007.par	图腾招唤施放	海浪	0	0	-1	-1	0	1	0	-1
120	01020008.par	图腾招唤人物命中	海浪	0	0	-1	-1	0	1	0	-1
121	hide01.par	隐月流潜行术施放	海浪	0	0	-1	-1	0	1	0	-1
122	01000009.par	伊贺鬼轮斩施放	海浪	0	0	-1	-1	0	1	0	-1
123	01040002.par	伊贺鬼轮斩人物持续	海浪	0	0	-1	-1	0	1	0	-1
124	01000010.par	伊贺流背刺杀施放	海浪	0	0	-1	-1	0	1	0	-1
125	01020009.par	伊贺流背刺杀人物命中	海浪	0	0	-1	1	0	1	0	-1
126	01000011.par	伊贺流刺盲术施放	海浪	0	0	-1	-1	0	1	0	-1
127	01040003.par	伊贺流刺盲术人物持续	海浪	0	0	-1	-1	0	1	0	-1
128	01020010.par	坚韧术人物命中	海浪	0	0	-1	-1	0	1	0	-1
129	01020011.par	冰霜护盾人物命中	海浪	0	0	-1	-1	0	1	0	-1
130	critical.par	双倍伤害	海浪	0	0	-1	-1	0	1	0	-1
131	01030006.par	受到伤害	海浪	0	0	-1	1	0	1	0	-1
132	01030007.par	Levelup	海浪	0	0	-1	-1	0	1	0	-1
133	01030008.par	HP恢复	海浪	0	0	-1	-1	0	1	0	-1
134	01030009.par	sp恢复	海浪	0	0	-1	-1	0	1	0	-1
135	01040004.par	冰霜护盾人物持续	海浪	0	0	-1	-1	0	1	0	-1
136	01000012.par	回旋盾击施放	海浪	0	0	-1	-1	0	1	0	-1
137	01000013.par	丛林穿越施放	海浪	0	0	-1	-1	0	1	0	-1
138	01040005.par	丛林穿越人物持续	海浪	0	0	-1	-1	0	1	0	-1
139	01000014.par	慧星强击施放	海浪	0	0	-1	-1	0	1	0	-1
140	01020012.par	慧星强击人物命中	海浪	0	0	-1	-1	0	1	0	-1
141	01000015.par	宠物理疗施放	海浪	0	0	-1	-1	0	1	0	-1
142	04000010.par	腿狙射击释放	海浪	0	0	-2	-1	0	1	0	-1
143	01040006.par	腿狙持续	海浪	0	0	-1	-1	0	1	0	-1
144	01020013.par	腿狙命中	海浪	0	0	-1	-1	0	1	0	-1
145	01000017.par	火焰喷射施放	海浪	0	0	-1	-1	0	1	0	-1
146	01040007.par	火焰喷射人物持续	海浪	0	0	-1	-1	0	1	0	-1
147	01040008.par	暴头人物持续	海浪	0	0	-1	-1	0	1	0	-1
148	01020014.par	回复术人物命中	海浪	0	0	-1	-1	0	1	0	-1
149	01010003.par	大回复术地面命中	海浪	0	0	-1	1	0	1	0	-1
150	01000018.par	烈焰之翼施放	海浪	0	0	-1	-1	0	1	0	-1
151	01020015.par	烈焰之翼人物命中	海浪	0	0	-1	-1	0	1	0	-1
152	01040009.par	烈焰之翼人物持续	海浪	0	0	-1	-1	0	1	0	-1
153	01020016.par	圣火之光人物命中	海浪	0	0	-1	-1	0	1	0	-1
154	01040010.par	圣火之光人物持续	海浪	0	0	-1	-1	0	1	0	-1
155	01020017.par	心灵之火人物命中	海浪	0	0	-1	-1	0	1	0	-1
