序号	怪物名称	怪物等级	最终坐标	区域			
1	精灵草	1	2092,2654	加纳大陆			
2	睡梦蜗牛	2	2108,2694	加纳大陆			
3	森灵	3	2046,2611	加纳大陆			
4	蔻蔻	3	2077,2811	加纳大陆			
5	精灵花	4	2210,2612	加纳大陆			
6	迷你蜂	5	2077,2772	加纳大陆			
7	帕帕	5	2294,2548	加纳大陆			
8	大嘴菇	6	2218,2594	加纳大陆			
9	草原龟	7	2066,2555	加纳大陆			
10	厚绒山羊	8	1968,2697	加纳大陆			
11	射水贝	9	2191,2514	加纳大陆			
12	沼泽森灵	9	1998,2625	加纳大陆			
13	迷你猪	10	1950,2563	加纳大陆			
14	熊宝宝	12	1899,2825	加纳大陆			
15	珍珠贝	13	1800,2472	加纳大陆			
16	残暴山羊	14	1785,2830	加纳大陆			
17	铁甲蟹	15	1766,2536	加纳大陆			
18	卫兵蟹	16	1784,2508	加纳大陆			
19	飞熊猫	17	1693,2579	加纳大陆			
20	利齿菇	19	1580,2676	加纳大陆			
21	走私犯	20	1624,3017	加纳大陆			
22	野蛮蜂	20	1667,3140	加纳大陆			
23	猫头鹰	21	1490,2712	加纳大陆			
24	箭豪猪	23	1296,2977	加纳大陆			
25	香草猪	23	1357,2864	加纳大陆			
26	山贼	25	1038,3062	加纳大陆			
27	草原乖乖鹿	25	1469,2671	加纳大陆			
28	海草	25	899,580	加纳大陆			
29	野生海草	25	1448,1602	加纳大陆			
30	曼陀罗	26	1381,2904	加纳大陆			
31	水母	26	1573,1200	加纳大陆			
32	漂浮的海草	26	1573,1200	加纳大陆			
33	拳击袋鼠	27	1177,2946	加纳大陆			
34	雾隐鱼	27	3697,1156	加纳大陆			
35	腐臭海草	27	3930,3150	加纳大陆			
36	成年草原龟	28	1199,3117	加纳大陆			
37	野猪	30	911,2972	加纳大陆			
38	疯狂野猪	30	882,2967	加纳大陆			
39	草原鹿	31	1360,2684	加纳大陆			
40	雪白猫头鹰	32	1360,2684	加纳大陆			
41	闪电水母	32	2005,2110	加纳大陆			
42	草原狼	33	1144,2705	加纳大陆			
43	草原狼王	33	1143,2705	加纳大陆			
44	深海舞水	33	1910,3604	加纳大陆			
45	堕落的小乌贼	33	1479,550	加纳大陆			
46	爆击袋鼠	34	1162,2639	加纳大陆			
47	邪恶的舞水	34	2005,2110	加纳大陆			
48	迟钝蜗牛	35	1227,2743	加纳大陆			
49	美人鱼	35	1350,2200	加纳大陆			
50	剧毒水母	35	1350,1980	加纳大陆			
51	泥浆怪	36	935,2748	加纳大陆			
52	暴风水母	36	1350,2200	加纳大陆			
53	狂暴水母	36	1310,3604	加纳大陆			
54	刺刃翠鸟	37	863,2632	加纳大陆			
55	宝石海豚	37	1310,3604	加纳大陆			
56	喷墨乌贼	37	1350,1980	加纳大陆			
57	恐龟	38	970,2588	加纳大陆			
58	骨鱼	38	2557,169	加纳大陆			
59	章鱼	38	571,390	加纳大陆			
60	厚皮蜥蜴	39	733,2697	加纳大陆			
61	巨蝌蚪	39	571,750	加纳大陆			
62	变异章鱼	39	571,750	加纳大陆			
63	岩石怪	40	683,2592	加纳大陆			
64	邪恶加纳海妖	40	3050,400	加纳大陆			
65	加纳海妖	40	3050,400	加纳大陆			
66	巨狼	41	755,2942	加纳大陆			
67	邪恶雾隐鱼	41	3050,400	加纳大陆			
68	针刺曼陀罗	42	560,1599	加纳大陆			
69	狼人战士	42	755,2942	加纳大陆			
70	土著人	43	824,2305	加纳大陆			
71	莉娜海妖	45	2050,400	加纳大陆			
72	南瓜骑士	46	622,2864	加纳大陆			
73	土著战士	46	821,2121	加纳大陆			
74	电击水母	46	2550,400	加纳大陆			
75	邪恶血蝌蚪	47	2050,400	加纳大陆			
76	枯木精	48	556,1558	加纳大陆			
77	凶猛的血蝌蚪	48	2550,400	加纳大陆			
78	潜行血蝌蚪	48	2550,400	加纳大陆			
79	黑色泥浆怪	49	667,1896	加纳大陆			
80	游荡的美人鱼	50	3692,323	加纳大陆			
81	坚硬的岩石怪	51	737,1718	加纳大陆			
82	老年锯齿鲨鱼	51	2738,3508	加纳大陆			
83	不灭武士	52	512,1722	加纳大陆			
84	白鳍鲨	52	3538,3508	加纳大陆			
85	铁僵尸	53	556,1558	加纳大陆			
86	精英狼人战士	53	556,1439	加纳大陆			
87	槌头鲨	53	3538,3508	加纳大陆			
88	黑鳍鲨	53	2738,3508	加纳大陆			
89	巨型针刺曼陀罗	54	440,1320	加纳大陆			
90	樱花13海盗支援船	54	1950,1287	加纳大陆			
91	土著祭师	55	626,1289	加纳大陆			
92	守护天使	55	886,1284	加纳大陆			
93	樱花13海盗突击船	55	1950,1287	加纳大陆			
94	灵巧的土著人	56	736,1289	加纳大陆			
95	狂风水母	56	3149,3836	加纳大陆			
96	丝鲨	56	3149,3836	加纳大陆			
97	堕落的不灭武士	57	831,1126	加纳大陆			
98	圣林猎手	58	920,1582	加纳大陆			
99	骷髅神箭手	58	945,1595	加纳大陆			
100	樱花13海盗指挥舰	58	1950,1287	加纳大陆			
101	诅咒古尸	59	360,1440	加纳大陆			
102	骷髅武士队长	59	360,1440	加纳大陆			
103	地精工兵	60	546,2726	加纳大陆			
104	蜥蜴战士	60	382,2726	加纳大陆			
105	铁魔人	60	546,2590	加纳大陆			
106	石巨人	60	546,2590	加纳大陆			
107	暗血猎手	60	440,1587	加纳大陆			
108	小树人	62	683,2385	加纳大陆			
109	巨蜥	62	731,2074	加纳大陆			
110	恐怖的诅咒古尸	63	360,1340	加纳大陆			
111	堕落的南瓜骑士	63	622,3018	加纳大陆			
112	独角蝎狮	64	663,2460	加纳大陆			
113	精英土著战士	64	646,2310	加纳大陆			
114	恐怖的枯木精	64	663,2460	加纳大陆			
115	地精战士	65	373,2590	加纳大陆			
116	精英狼人弓箭手	65	472,2484	加纳大陆			
117	疯狂的土著人	66	561,2334	加纳大陆			
118	邪恶的不灭武士	66	580,2122	加纳大陆			
119	邪恶的南瓜骑士	67	340,1581	加纳大陆			
120	狼人战士队长	67	472,2484	加纳大陆			
121	暗影猎手	68	468,2102	加纳大陆			
122	王殿护卫	68	436,1690	加纳大陆			
123	巨型树人	68	475,2085	加纳大陆			
124	堕落的守护天使	69	335,2122	加纳大陆			
125	蜥蜴战士队长	71	412,2334	加纳大陆			
126	地精战士队长	72	375,2422	加纳大陆			
127	仙人球	1	1027,3551	魔女之海			
128	黄色精灵草	1	1027,3551	魔女之海			
129	小蝎子	3	1187,3540	魔女之海			
130	仙人掌	4	1032,3556	魔女之海			
131	奔奔驼	6	967,3367	魔女之海			
132	大蝎子	8	1185,3557	魔女之海			
133	跳跳蜥	10	856,3237	魔女之海			
134	变异跳跳蜥	10	919,3282	魔女之海			
135	小狼	11	684,3066	魔女之海			
136	杀手仙人掌	14	1513,3286	魔女之海			
137	大仙人球	15	687,3094	魔女之海			
138	鬼怪树	17	885,3029	魔女之海			
139	饿狼	20	653,2925	魔女之海			
140	沙地窃贼	20	740,3298	魔女之海			
141	沙地龟	21	1197,3270	魔女之海			
142	远古沙地龟	21	1225,3220	魔女之海			
143	沙匪	22	1339,3301	魔女之海			
144	沙地菇	23	1334,3438	魔女之海			
145	泥人	24	1413,3419	魔女之海			
146	沙骑士	25	1027,3011	魔女之海			
147	海草	25	1792,2528	魔女之海			
148	水母	26	3351,759	魔女之海			
149	暴狼	26	1473,3296	魔女之海			
150	雾隐鱼	27	587,1936	魔女之海			
151	食人蜘蛛	27	1093,2948	魔女之海			
152	食人蜘蛛后	27	1094,2953	魔女之海			
153	沙匪首领·绞刑	28	1172,3027	魔女之海			
154	小乌贼	28	3204,898	魔女之海			
155	被诅咒的海草	28	1950,3126	魔女之海			
156	盾骑士	29	1256,2974	魔女之海			
157	墨箭乌贼	30	2519,3164	魔女之海			
158	舞水	30	2680,3126	魔女之海			
159	杰克海盗团水手	30	1506,3436	魔女之海			
160	国王蜥蜴	30	1507,2971	魔女之海			
161	费克船长	30	1506,3436	魔女之海			
162	敏捷的雾隐鱼	31	2681,3684	魔女之海			
163	黑暗的雾隐鱼	31	1498,2528	魔女之海			
164	闪电水母	32	2681,3684	魔女之海			
165	迟钝的乌贼	32	1523,2454	魔女之海			
166	暴风水母	36	635,1908	魔女之海			
167	精英暴风水母	36	1950,3126	魔女之海			
168	骨鱼	38	635,1908	魔女之海			
169	加纳海妖	40	2322,1670	魔女之海			
170	莉娜海妖	45	2756,2002	魔女之海			
171	沙蟹	47	1381,3134	魔女之海			
172	杰克海盗支援船	49	2092,2528	魔女之海			
173	杰克海盗突击船	50	2092,2528	魔女之海			
174	杰克海盗指挥舰	52	2092,2528	魔女之海			
175	大眼蝌蚪	61	3723,3338	魔女之海			
176	食腐骨鱼	61	3828,3114	魔女之海			
177	邪恶巨蝌蚪	62	3828,3714	魔女之海			
178	凶猛的巨蝌蚪	62	3828,3714	魔女之海			
179	迅捷的暴风水母	63	3750,1275	魔女之海			
180	被诅咒的美人鱼	64	3750,1275	魔女之海			
181	狂暴暴风水母	64	3750,2475	魔女之海			
182	老年宝石海豚	65	3750,2475	魔女之海			
183	凶猛的骨鱼	65	900,1308	魔女之海			
184	潜行巨蝌蚪	66	900,1308	魔女之海			
185	凶猛的宝石海豚	66	900,2000	魔女之海			
186	魔女海妖	67	1014,2550	魔女之海			
187	紫水晶海豚	67	900,2000	魔女之海			
188	老年水晶海豚	68	3750,2075	魔女之海			
189	地精技师	70	1381,3134	魔女之海			
