//spawnid	startpos	endpos	direction	monsterID	count	Rfprobability	RFTime	commotion	note	·ÖÇø±àºÅ
1	61100,28800	77300,42600	-1	234	21	100	10	40	0	±ùÀÇÏÂ1
2	62100,28800	69300,37600	-1	228	56	100	20	40	0	±ùÀÇÏÂ1A
3	62100,39700	69300,42600	-1	233	22	100	15	40	0	±ùÀÇÏÂ1B
4	70300,42700	77300,42600	-1	232	22	100	15	40	0	±ùÀÇÏÂ1C
5	71300,33800	77300,37800	-1	46	42	100	15	40	0	±ùÀÇÏÂ1D
6	71100,27800	83300,30800	-1	232,233	21,21	100,100	15,16	40	0	±ùÀÇÏÂ1E
7	77500,28800	88200,44800	-1	239	17	100	10	40	0	±ùÀÇÏÂ2
8	83500,30800	93500,35800	-1	34,266	37,37	100,100	15	40	0	±ùÀÇÏÂ2A
9	88900,28800	110000,45500	-1	216	35	100	10	40	0	±ùÀÇÏÂ3
10	88900,37500	100000,45500	-1	214	46	100	10	40	0	±ùÀÇÏÂ3A
11	88900,27500	110000,45500	-1	83	50	100	10	40	0	±ùÀÇÏÂ3B
12	109800,27800	149500,32200	-1	216	21	100	10	40	0	±ùÀÇÏÂ4
13	109800,28800	123000,32200	-1	238	25	100	10	40	0	±ùÀÇÏÂ4A
14	125000,28800	140000,32200	-1	240	25	100	10	40	0	±ùÀÇÏÂ4B
15	109800,32300	126100,55000	-1	216,234	14,12	100,100	10,10	40	0	±ùÀÇÏÂ5
16	111800,34300	124100,40000	-1	239	42	100	10	40	0	±ùÀÇÏÂ5A
17	111800,42000	124100,53000	-1	235	28	100	10	40	0	±ùÀÇÏÂ5B
18	143700,33300	149400,49100	-1	216	14	100	10	40	0	±ùÀÇÏÂ6
19	143700,36300	149400,44100	-1	234,235	35,31	100,100	10,10	40	0	±ùÀÇÏÂ6A
20	77800,43900	90800,54800	-1	234	17	100	10	40	0	±ùÀÇÏÂ7
21	84800,43900	89800,48800	-1	46	28	100	15	40	0	±ùÀÇÏÂ7A
22	79800,48800	89800,54800	-1	32	42	100	15	40	0	±ùÀÇÏÂ7B
23	88500,45800	112900,58300	-1	216	24	100	10	40	0	±ùÀÇÏÂ8
24	102900,45800	112900,58300	-1	51	52	100	10	40	0	±ùÀÇÏÂ8A
25	88500,51800	101900,58300	-1	130	52	100	15	40	0	±ùÀÇÏÂ8B
26	109800,55000	132700,60700	-1	216,234	14,14	100,100	10,10	40	0	±ùÀÇÏÂ9
27	110000,56000	121000,59700	-1	216,234	20,17	100,100	10,10	40	0	±ùÀÇÏÂ9A
28	138300,50900	158800,73200	-1	233,232	17,17	100,100	15,15	40	0	±ùÀÇÏÂ10
29	140300,63200	158800,70200	-1	98	45	100	30	40	0	±ùÀÇÏÂ10A
30	154800,53200	162800,60000	-1	98,257	14,14	100,100	30,70	40	0	±ùÀÇÏÂ10B
31	140300,52900	150800,59200	-1	296	38	100	30	40	0	±ùÀÇÏÂ10C
32	83300,59200	98300,71000	-1	228	17	100	20	40	0	±ùÀÇÏÂ11
33	85300,59200	89300,70000	-1	281	21	100	25	40	0	±ùÀÇÏÂ11A
34	93300,61200	98300,71000	-1	142	42	100	20	40	0	±ùÀÇÏÂ11B
35	98300,59200	113800,71000	-1	46	17	100	15	40	0	±ùÀÇÏÂ12
36	107800,59200	113800,65200	-1	83	35	100	10	40	0	±ùÀÇÏÂ12A
37	79200,70800	93000,81200	-1	51	21	100	10	40	0	±ùÀÇÏÂ13
38	85200,70800	93000,79200	-1	265,79	20,20	100,100	30,30	40	0	±ùÀÇÏÂ13A
39	79200,71800	81200,78200	-1	293	18	100	30	40	0	±ùÀÇÏÂ13B
40	93000,70800	110000,81200	-1	32	21	100	10	40	0	±ùÀÇÏÂ14
41	101000,70800	110000,76800	-1	255	31	100	20	40	0	±ùÀÇÏÂ14A
42	93000,73800	100000,81200	-1	137	38	100	25	40	0	±ùÀÇÏÂ14B
43	102000,77800	110000,83200	-1	138	15	100	30	40	0	±ùÀÇÏÂ14C
44	86000,81000	103400,93400	-1	32	21	100	10	40	0	±ùÀÇÏÂ15
45	86000,81000	95400,87400	-1	256	35	100	30	40	0	±ùÀÇÏÂ15A
46	86000,89400	93400,95400	-1	98	24	100	30	40	0	±ùÀÇÏÂ15B
47	96400,81000	102400,90400	-1	143	28	100	25	40	0	±ùÀÇÏÂ15C
48	86000,89400	89000,95400	-1	289	1	100	300	40	0	±ùÀÇÏÂ15C2
49	212500,41800	217000,56600	-1	137,142	14,14	100,100	25,20	40	0	±ùÀÇÉÏ1
50	213000,42800	220000,49600	-1	141,133	15,15	100,100	70,70	40	0	±ùÀÇÉÏ1A
