//序号	发型名字	颜色	需求物品0	需求物品1	需求物品2	需求物品3	需要金钱	相关模型	失败发型模型	可用角色1	可用角色2	可用角色3	可用角色4	道具表编号	模型命名
1	蓝崎发型1	红	1807,1	1808,1	1797,5	1806,1	100000	2009	1999	1	0	0	0	2009	0000090001
2	蓝崎发型1	橙	1807,1	1808,1	1798,5	1806,1	100000	2010	1999	1	0	0	0	2010	0000100001
3	蓝崎发型1	黄	1807,1	1808,1	1799,5	1806,1	100000	2000	1999	1	0	0	0	2000	0000000001
4	蓝崎发型1	绿	1807,1	1808,1	1800,5	1806,1	100000	2011	1999	1	0	0	0	2011	0000110001
5	蓝崎发型1	青	1807,1	1808,1	1801,5	1806,1	100000	2012	1999	1	0	0	0	2012	0000120001
6	蓝崎发型1	蓝	1807,1	1808,1	1802,5	1806,1	100000	2013	1999	1	0	0	0	2013	0000130001
7	蓝崎发型1	紫	1807,1	1808,1	1803,5	1806,1	100000	2014	1999	1	0	0	0	2014	0000140001
8	蓝崎发型2	红	1807,1	1808,1	1797,5	1804,1	100000	2001	1999	1	0	0	0	2001	0000010001
9	蓝崎发型2	橙	1807,1	1808,1	1798,5	1804,1	100000	2015	1999	1	0	0	0	2015	0000150001
10	蓝崎发型2	黄	1807,1	1808,1	1799,5	1804,1	100000	2016	1999	1	0	0	0	2016	0000160001
11	蓝崎发型2	绿	1807,1	1808,1	1800,5	1804,1	100000	2017	1999	1	0	0	0	2017	0000170001
12	蓝崎发型2	青	1807,1	1808,1	1801,5	1804,1	100000	2018	1999	1	0	0	0	2018	0000180001
13	蓝崎发型2	蓝	1807,1	1808,1	1802,5	1804,1	100000	2019	1999	1	0	0	0	2019	0000190001
14	蓝崎发型2	紫	1807,1	1808,1	1803,5	1804,1	100000	2020	1999	1	0	0	0	2020	0000200001
15	蓝崎发型3	红	1807,1	1808,1	1797,5	1805,1	100000	2021	1999	1	0	0	0	2021	0000210001
16	蓝崎发型3	橙	1807,1	1808,1	1798,5	1805,1	100000	2022	1999	1	0	0	0	2022	0000220001
17	蓝崎发型3	黄	1807,1	1808,1	1799,5	1805,1	100000	2002	1999	1	0	0	0	2002	0000020001
18	蓝崎发型3	绿	1807,1	1808,1	1800,5	1805,1	100000	2023	1999	1	0	0	0	2023	0000230001
19	蓝崎发型3	青	1807,1	1808,1	1801,5	1805,1	100000	2024	1999	1	0	0	0	2024	0000240001
20	蓝崎发型3	蓝	1807,1	1808,1	1802,5	1805,1	100000	2025	1999	1	0	0	0	2025	0000250001
21	蓝崎发型3	紫	1807,1	1808,1	1803,5	1805,1	100000	2026	1999	1	0	0	0	2026	0000260001
22	蓝崎发型4	红	1807,1	1808,1	1797,5	1806,1	100000	2027	1999	1	0	0	0	2027	0000270001
23	蓝崎发型4	橙	1807,1	1808,1	1798,5	1806,1	100000	2028	1999	1	0	0	0	2028	0000280001
24	蓝崎发型4	黄	1807,1	1808,1	1799,5	1806,1	100000	2029	1999	1	0	0	0	2029	0000290001
25	蓝崎发型4	绿	1807,1	1808,1	1800,5	1806,1	100000	2030	1999	1	0	0	0	2030	0000300001
26	蓝崎发型4	青	1807,1	1808,1	1801,5	1806,1	100000	2031	1999	1	0	0	0	2031	0000310001
27	蓝崎发型4	蓝	1807,1	1808,1	1802,5	1806,1	100000	2003	1999	1	0	0	0	2003	0000030001
