//编号	被绑定实体ID	事件类型	实体摆放位置	实体摆放方向	目标地图名	目标地图位置	触发判定条件	名称
1	193	1	3400,9800	-1	hell	22000,3600	1	五层到六层
2	193	1	10200,9800	-1	hell	21900,22000	1	五层到七层
3	193	1	9600,3700	-1	hell	9600,21600	1	五层到八层
4	193	1	15200,3100	-1	hell	3400,3200	1	六层到五层
5	193	1	21900,9400	-1	hell	21900,22000	1	六层到七层
6	193	1	15800,9900	-1	hell	9600,21600	1	六层到八层
7	193	1	22300,15500	-1	hell	3400,3200	1	七层到五层
8	193	1	15500,15600	-1	hell	22000,3600	1	七层到六层
9	193	1	15500,21700	-1	hell	9600,21600	1	七层到八层
10	193	1	3500,15400	-1	hell	3400,3200	1	八层到五层
11	193	1	9700,15800	-1	hell	22000,3600	1	八层到六层
12	193	1	3700,21700	-1	hell	21900,22000	1	八层到七层
