//序号	NPC名字	NPC类型	Chr索引ID	小地图显示	坐标起点	坐标终点	NPC面向	区域	区域编号	NPC脚本	消息處理	检测状态
1	地狱商人	1	827	12	19100,17400	19100,17400	180	地狱	86	0	dysr_talk	0
2	希尔塔	1	403	0	31400, 30300	31400, 30300	174	地狱15层	123	0	el_talk12	0
3	艾奥利亚	1	473	0	8000,19000	8000,19000	260	地狱10层	118	0	dina_talk16	0
4	沙加	1	473	0	7900,7800	7900,7800	260	地狱11层	119	0	dina_talk17	0
5	童虎	1	473	0	21000,8000	21000,8000	260	地狱12层	120	0	dina_talk18	0
6	米罗	1	473	0	32600,7600	32600,7600	260	地狱13层	121	0	dina_talk19	0
7	艾俄罗斯	1	473	0	32000,19500	32000,19500	260	地狱14层	122	0	dina_talk20	0
8	修罗	1	473	0	31800,31700	31800,31700	260	地狱15层	123	0	dina_talk21	0
9	加妙	1	473	0	19800,31000	19800,31000	260	地狱16层	124	0	dina_talk22	0
10	阿布罗狄	1	473	0	8000,31500	8000,31500	260	地狱17层	125	0	dina_talk23	0
