[09-28 09:28:18]can't find pointer map[magicsea], keep former map!
[09-28 09:28:18]can't find pointer map[darkblue], keep former map!
[09-28 09:28:18]can't find pointer map[lonetower], keep former map!
[09-28 09:28:18]can't find pointer map[secretgarden], keep former map!
[09-28 09:28:18]can't find pointer map[secretgarden], keep former map!
[09-28 09:28:18]can't find pointer map[secretgarden], keep former map!
[09-28 09:28:18]can't find pointer map[eastgoaf], keep former map!
[09-28 09:28:18]can't find pointer map[guildwar], keep former map!
[09-28 09:28:18]can't find pointer map[guildwar2], keep former map!
[09-28 09:28:18]can't find pointer map[guildwar], keep former map!
[09-28 09:28:18]can't find pointer map[guildwar2], keep former map!
[09-28 09:28:18]can't find pointer map[07xmas2], keep former map!
[09-28 15:43:38]can't find pointer map[magicsea], keep former map!
[09-28 15:43:38]can't find pointer map[darkblue], keep former map!
[09-28 15:43:38]can't find pointer map[lonetower], keep former map!
[09-28 15:43:38]can't find pointer map[secretgarden], keep former map!
[09-28 15:43:38]can't find pointer map[secretgarden], keep former map!
[09-28 15:43:38]can't find pointer map[secretgarden], keep former map!
[09-28 15:43:38]can't find pointer map[eastgoaf], keep former map!
[09-28 15:43:38]can't find pointer map[guildwar], keep former map!
[09-28 15:43:38]can't find pointer map[guildwar2], keep former map!
[09-28 15:43:38]can't find pointer map[guildwar], keep former map!
[09-28 15:43:38]can't find pointer map[guildwar2], keep former map!
[09-28 15:43:38]can't find pointer map[07xmas2], keep former map!
[10-08 17:36:06]can't find pointer map[magicsea], keep former map!
[10-08 17:36:06]can't find pointer map[darkblue], keep former map!
[10-08 17:36:06]can't find pointer map[lonetower], keep former map!
[10-08 17:36:06]can't find pointer map[secretgarden], keep former map!
[10-08 17:36:06]can't find pointer map[secretgarden], keep former map!
[10-08 17:36:06]can't find pointer map[secretgarden], keep former map!
[10-08 17:36:06]can't find pointer map[eastgoaf], keep former map!
[10-08 17:36:06]can't find pointer map[guildwar], keep former map!
[10-08 17:36:06]can't find pointer map[guildwar2], keep former map!
[10-08 17:36:06]can't find pointer map[guildwar], keep former map!
[10-08 17:36:06]can't find pointer map[guildwar2], keep former map!
[10-08 17:36:06]can't find pointer map[07xmas2], keep former map!
[10-08 17:52:29]can't find pointer map[magicsea], keep former map!
[10-08 17:52:29]can't find pointer map[darkblue], keep former map!
[10-08 17:52:29]can't find pointer map[lonetower], keep former map!
[10-08 17:52:29]can't find pointer map[secretgarden], keep former map!
[10-08 17:52:29]can't find pointer map[secretgarden], keep former map!
[10-08 17:52:29]can't find pointer map[secretgarden], keep former map!
[10-08 17:52:29]can't find pointer map[eastgoaf], keep former map!
[10-08 17:52:29]can't find pointer map[guildwar], keep former map!
[10-08 17:52:29]can't find pointer map[guildwar2], keep former map!
[10-08 17:52:29]can't find pointer map[guildwar], keep former map!
[10-08 17:52:29]can't find pointer map[guildwar2], keep former map!
[10-08 17:52:29]can't find pointer map[07xmas2], keep former map!
[10-13 11:08:46]can't find pointer map[magicsea], keep former map!
[10-13 11:08:46]can't find pointer map[darkblue], keep former map!
[10-13 11:08:46]can't find pointer map[lonetower], keep former map!
[10-13 11:08:46]can't find pointer map[secretgarden], keep former map!
[10-13 11:08:46]can't find pointer map[secretgarden], keep former map!
[10-13 11:08:46]can't find pointer map[secretgarden], keep former map!
[10-13 11:08:46]can't find pointer map[eastgoaf], keep former map!
[10-13 11:08:46]can't find pointer map[guildwar], keep former map!
[10-13 11:08:46]can't find pointer map[guildwar2], keep former map!
[10-13 11:08:46]can't find pointer map[guildwar], keep former map!
[10-13 11:08:46]can't find pointer map[guildwar2], keep former map!
[10-13 11:08:46]can't find pointer map[07xmas2], keep former map!
[10-13 21:44:17]can't find pointer map[magicsea], keep former map!
[10-13 21:44:17]can't find pointer map[darkblue], keep former map!
