time,memory size,virtual memory size,physical available size
06-06 16:02:52,16.6289,11.1445,1970.89
06-06 16:03:52,1200.57,1204.66,1083.53
06-06 16:04:52,1200.99,1205.14,1076.29
06-06 16:05:52,1201.02,1205.14,1748.46
06-06 16:06:52,1201.04,1205.14,1743.03
06-06 16:07:52,1201.04,1205.14,1635.67
06-06 16:08:52,1201.04,1205.14,1649.8
06-06 16:09:52,1201.04,1205.14,1613.18
06-06 16:10:52,1201.04,1205.14,1673.05
06-06 16:11:52,1201.04,1205.14,1673.98
06-06 16:12:52,1201.04,1205.14,1716.54
06-06 16:13:52,1201.04,1205.14,1736.57
06-06 16:14:52,1201.04,1205.14,1736.27
06-06 16:15:52,1201.04,1205.14,1738.59
06-06 16:16:52,1116.25,1205.14,2605.4
06-06 16:17:52,1116.26,1205.14,2602.28
06-06 16:18:52,1116.26,1205.14,2602.14
06-06 16:19:52,1116.26,1205.14,2591.18
06-06 16:20:53,1116.26,1205.14,2545.02
06-06 16:21:53,1116.26,1205.14,2541.42
06-06 16:22:53,1116.2,1204.99,2534.39
06-06 16:23:53,1116.2,1204.99,2522.79
06-06 16:24:53,1116.2,1204.99,2481.45
06-06 16:25:53,1116.2,1204.99,2486.25
06-06 16:26:53,1116.2,1204.99,2516.09
06-06 16:27:53,1116.2,1204.99,2496.88
