[09-28 09:28:15]SaleGoodsData, count, level, id, num, price, range, curprice 1  0  4573  900  279  62  283  
[09-28 09:28:15]SaleGoodsData, count, level, id, num, price, range, curprice 2  0  4574  800  342  76  359  
[09-28 09:28:15]SaleGoodsData, count, level, id, num, price, range, curprice 3  1  4575  700  391  87  434  
[09-28 09:28:15]SaleGoodsData, count, level, id, num, price, range, curprice 4  1  4576  480  432  96  517  
[09-28 09:28:15]SaleGoodsData, count, level, id, num, price, range, curprice 5  2  4577  300  495  110  528  
[09-28 09:28:15]SaleGoodsData, count, level, id, num, price, range, curprice 6  2  4578  240  522  116  587  
[09-28 09:28:15]SaleGoodsData, count, level, id, num, price, range, curprice 7  3  4579  60  589  131  660  
[09-28 09:28:15]SaleGoodsData, count, level, id, num, price, range, curprice 8  3  4580  40  648  144  750  
[09-28 09:28:15]BuyGoodsData, count, level, id, num, price, range, curprice 1  0  4581  -1  542  121  610  
[09-28 09:28:15]BuyGoodsData, count, level, id, num, price, range, curprice 2  0  4583  -1  724  161  833  
[09-28 09:28:15]BuyGoodsData, count, level, id, num, price, range, curprice 3  0  4585  -1  846  188  942  
[09-28 09:28:15]BuyGoodsData, count, level, id, num, price, range, curprice 4  0  4587  -1  846  564  888  
[09-28 09:28:15]BuyGoodsData, count, level, id, num, price, range, curprice 5  0  4593  -1  1000  223  1122  
[09-28 09:28:15]BuyGoodsData, count, level, id, num, price, range, curprice 6  0  4595  -1  938  625  1419  
[09-28 09:28:15]BuyGoodsData, count, level, id, num, price, range, curprice 7  0  4597  -1  881  195  1049  
[09-28 09:28:15]BuyGoodsData, count, level, id, num, price, range, curprice 8  0  4598  -1  878  195  990  
[09-28 09:28:15]BuyGoodsData, count, level, id, num, price, range, curprice 9  0  4600  -1  866  577  947  
[09-28 09:28:15]BuyGoodsData, count, level, id, num, price, range, curprice 10  0  4552  -1  642  143  777  
[09-28 09:28:15]BuyGoodsData, count, level, id, num, price, range, curprice 11  0  4553  -1  789  175  803  
[09-28 09:28:15]BuyGoodsData, count, level, id, num, price, range, curprice 12  0  4554  -1  934  207  952  
[09-28 09:28:15]BuyGoodsData, count, level, id, num, price, range, curprice 13  0  4556  -1  870  193  891  
[09-28 09:28:15]BuyGoodsData, count, level, id, num, price, range, curprice 14  0  4557  -1  970  215  1087  
[09-28 09:28:15]BuyGoodsData, count, level, id, num, price, range, curprice 15  0  4560  -1  1056  235  1099  
[09-28 09:28:15]BuyGoodsData, count, level, id, num, price, range, curprice 16  0  4563  -1  909  202  945  
[09-28 09:28:15]BuyGoodsData, count, level, id, num, price, range, curprice 17  0  4566  -1  785  175  888  
[09-28 09:28:15]BuyGoodsData, count, level, id, num, price, range, curprice 18  0  4569  -1  1014  225  1230  
[09-28 09:28:15]BuyGoodsData, count, level, id, num, price, range, curprice 19  0  4572  -1  924  205  1054  
[09-28 09:28:15]BuyGoodsData, count, level, id, num, price, range, curprice 20  0  4547  -1  100  0  100  
[09-28 09:28:15]BuyGoodsData, count, level, id, num, price, range, curprice 21  0  4549  -1  500  0  500  
[09-28 09:28:15]BuyGoodsData, count, level, id, num, price, range, curprice 22  0  4548  -1  300  0  300  
[09-28 09:28:15]BuyGoodsData, count, level, id, num, price, range, curprice 23  0  4551  -1  20  0  20  
[09-28 09:28:15]SaleGoodsData, count, level, id, num, price, range, curprice 1  1  4597  480  436  97  440  
[09-28 09:28:15]SaleGoodsData, count, level, id, num, price, range, curprice 2  2  4598  300  472  105  520  
[09-28 09:28:15]SaleGoodsData, count, level, id, num, price, range, curprice 3  2  4599  240  508  113  581  
[09-28 09:28:15]SaleGoodsData, count, level, id, num, price, range, curprice 4  3  4600  60  571  127  674  
[09-28 09:28:15]SaleGoodsData, count, level, id, num, price, range, curprice 5  3  4601  40  643  143  661  
[09-28 09:28:15]BuyGoodsData, count, level, id, num, price, range, curprice 1  0  4573  -1  554  123  599  
[09-28 09:28:15]BuyGoodsData, count, level, id, num, price, range, curprice 2  0  4574  -1  711  158  753  
[09-28 09:28:15]BuyGoodsData, count, level, id, num, price, range, curprice 3  0  4576  -1  872  193  940  
[09-28 09:28:15]BuyGoodsData, count, level, id, num, price, range, curprice 4  0  4581  -1  548  121  581  
[09-28 09:28:15]BuyGoodsData, count, level, id, num, price, range, curprice 5  0  4583  -1  740  165  845  
[09-28 09:28:15]BuyGoodsData, count, level, id, num, price, range, curprice 6  0  4587  -1  900  600  1492  
[09-28 09:28:15]BuyGoodsData, count, level, id, num, price, range, curprice 7  0  4591  -1  880  195  985  
[09-28 09:28:15]BuyGoodsData, count, level, id, num, price, range, curprice 8  0  4593  -1  1029  229  1200  
