[09-28 09:28:00]设置木材资源打包信息：Level, ItemID, Count, PileID 1  4543  10  4547  
[09-28 09:28:00]设置矿石资源打包信息：level, ItemID, Count, PileID 1  4544  10  4548  
[09-28 09:28:00]设置矿石资源打包信息：level, ItemID, Count, PileID 2  4545  10  4549  
[09-28 09:28:00]设置矿石资源打包信息：level, ItemID, Count, PileID 3  4546  10  4550  
[09-28 15:43:21]设置木材资源打包信息：Level, ItemID, Count, PileID 1  4543  10  4547  
[09-28 15:43:21]设置矿石资源打包信息：level, ItemID, Count, PileID 1  4544  10  4548  
[09-28 15:43:21]设置矿石资源打包信息：level, ItemID, Count, PileID 2  4545  10  4549  
[09-28 15:43:21]设置矿石资源打包信息：level, ItemID, Count, PileID 3  4546  10  4550  
[10-08 17:34:55]设置木材资源打包信息：Level, ItemID, Count, PileID 1  4543  10  4547  
[10-08 17:34:55]设置矿石资源打包信息：level, ItemID, Count, PileID 1  4544  10  4548  
[10-08 17:34:55]设置矿石资源打包信息：level, ItemID, Count, PileID 2  4545  10  4549  
[10-08 17:34:55]设置矿石资源打包信息：level, ItemID, Count, PileID 3  4546  10  4550  
[10-08 17:51:56]设置木材资源打包信息：Level, ItemID, Count, PileID 1  4543  10  4547  
[10-08 17:51:56]设置矿石资源打包信息：level, ItemID, Count, PileID 1  4544  10  4548  
[10-08 17:51:56]设置矿石资源打包信息：level, ItemID, Count, PileID 2  4545  10  4549  
[10-08 17:51:56]设置矿石资源打包信息：level, ItemID, Count, PileID 3  4546  10  4550  
[10-13 11:08:23]设置木材资源打包信息：Level, ItemID, Count, PileID 1  4543  10  4547  
[10-13 11:08:23]设置矿石资源打包信息：level, ItemID, Count, PileID 1  4544  10  4548  
[10-13 11:08:23]设置矿石资源打包信息：level, ItemID, Count, PileID 2  4545  10  4549  
[10-13 11:08:23]设置矿石资源打包信息：level, ItemID, Count, PileID 3  4546  10  4550  
[10-13 21:44:02]设置木材资源打包信息：Level, ItemID, Count, PileID 1  4543  10  4547  
[10-13 21:44:02]设置矿石资源打包信息：level, ItemID, Count, PileID 1  4544  10  4548  
[10-13 21:44:02]设置矿石资源打包信息：level, ItemID, Count, PileID 2  4545  10  4549  
[10-13 21:44:02]设置矿石资源打包信息：level, ItemID, Count, PileID 3  4546  10  4550  
[10-13 22:59:15]设置木材资源打包信息：Level, ItemID, Count, PileID 1  4543  10  4547  
[10-13 22:59:15]设置矿石资源打包信息：level, ItemID, Count, PileID 1  4544  10  4548  
[10-13 22:59:15]设置矿石资源打包信息：level, ItemID, Count, PileID 2  4545  10  4549  
[10-13 22:59:15]设置矿石资源打包信息：level, ItemID, Count, PileID 3  4546  10  4550  
[10-16 20:55:17]设置木材资源打包信息：Level, ItemID, Count, PileID 1  4543  10  4547  
[10-16 20:55:17]设置矿石资源打包信息：level, ItemID, Count, PileID 1  4544  10  4548  
[10-16 20:55:17]设置矿石资源打包信息：level, ItemID, Count, PileID 2  4545  10  4549  
[10-16 20:55:17]设置矿石资源打包信息：level, ItemID, Count, PileID 3  4546  10  4550  
[10-17 18:48:51]设置木材资源打包信息：Level, ItemID, Count, PileID 1  4543  10  4547  
[10-17 18:48:51]设置矿石资源打包信息：level, ItemID, Count, PileID 1  4544  10  4548  
[10-17 18:48:51]设置矿石资源打包信息：level, ItemID, Count, PileID 2  4545  10  4549  
[10-17 18:48:51]设置矿石资源打包信息：level, ItemID, Count, PileID 3  4546  10  4550  
[10-17 18:51:11]设置木材资源打包信息：Level, ItemID, Count, PileID 1  4543  10  4547  
[10-17 18:51:11]设置矿石资源打包信息：level, ItemID, Count, PileID 1  4544  10  4548  
[10-17 18:51:11]设置矿石资源打包信息：level, ItemID, Count, PileID 2  4545  10  4549  
[10-17 18:51:11]设置矿石资源打包信息：level, ItemID, Count, PileID 3  4546  10  4550  
[10-18 23:39:08]设置木材资源打包信息：Level, ItemID, Count, PileID 1  4543  10  4547  
[10-18 23:39:08]设置矿石资源打包信息：level, ItemID, Count, PileID 1  4544  10  4548  
[10-18 23:39:08]设置矿石资源打包信息：level, ItemID, Count, PileID 2  4545  10  4549  
[10-18 23:39:08]设置矿石资源打包信息：level, ItemID, Count, PileID 3  4546  10  4550  
[10-19 01:46:31]设置木材资源打包信息：Level, ItemID, Count, PileID 1  4543  10  4547  
[10-19 01:46:31]设置矿石资源打包信息：level, ItemID, Count, PileID 1  4544  10  4548  
[10-19 01:46:31]设置矿石资源打包信息：level, ItemID, Count, PileID 2  4545  10  4549  
[10-19 01:46:31]设置矿石资源打包信息：level, ItemID, Count, PileID 3  4546  10  4550  
[10-19 01:53:29]设置木材资源打包信息：Level, ItemID, Count, PileID 1  4543  10  4547  
[10-19 01:53:29]设置矿石资源打包信息：level, ItemID, Count, PileID 1  4544  10  4548  
[10-19 01:53:29]设置矿石资源打包信息：level, ItemID, Count, PileID 2  4545  10  4549  
[10-19 01:53:29]设置矿石资源打包信息：level, ItemID, Count, PileID 3  4546  10  4550  
[10-19 02:07:32]设置木材资源打包信息：Level, ItemID, Count, PileID 1  4543  10  4547  
[10-19 02:07:32]设置矿石资源打包信息：level, ItemID, Count, PileID 1  4544  10  4548  
[10-19 02:07:32]设置矿石资源打包信息：level, ItemID, Count, PileID 2  4545  10  4549  
[10-19 02:07:32]设置矿石资源打包信息：level, ItemID, Count, PileID 3  4546  10  4550  
[10-19 02:26:49]设置木材资源打包信息：Level, ItemID, Count, PileID 1  4543  10  4547  
[10-19 02:26:49]设置矿石资源打包信息：level, ItemID, Count, PileID 1  4544  10  4548  
[10-19 02:26:49]设置矿石资源打包信息：level, ItemID, Count, PileID 2  4545  10  4549  
[10-19 02:26:49]设置矿石资源打包信息：level, ItemID, Count, PileID 3  4546  10  4550  
[10-19 13:44:51]设置木材资源打包信息：Level, ItemID, Count, PileID 1  4543  10  4547  
[10-19 13:44:51]设置矿石资源打包信息：level, ItemID, Count, PileID 1  4544  10  4548  
[10-19 13:44:51]设置矿石资源打包信息：level, ItemID, Count, PileID 2  4545  10  4549  
[10-19 13:44:51]设置矿石资源打包信息：level, ItemID, Count, PileID 3  4546  10  4550  
[10-19 13:45:50]设置木材资源打包信息：Level, ItemID, Count, PileID 1  4543  10  4547  
[10-19 13:45:50]设置矿石资源打包信息：level, ItemID, Count, PileID 1  4544  10  4548  
[10-19 13:45:50]设置矿石资源打包信息：level, ItemID, Count, PileID 2  4545  10  4549  
[10-19 13:45:50]设置矿石资源打包信息：level, ItemID, Count, PileID 3  4546  10  4550  
[10-19 14:17:40]设置木材资源打包信息：Level, ItemID, Count, PileID 1  4543  10  4547  
[10-19 14:17:40]设置矿石资源打包信息：level, ItemID, Count, PileID 1  4544  10  4548  
[10-19 14:17:40]设置矿石资源打包信息：level, ItemID, Count, PileID 2  4545  10  4549  
[10-19 14:17:40]设置矿石资源打包信息：level, ItemID, Count, PileID 3  4546  10  4550  
[10-19 14:31:28]设置木材资源打包信息：Level, ItemID, Count, PileID 1  4543  10  4547  
[10-19 14:31:28]设置矿石资源打包信息：level, ItemID, Count, PileID 1  4544  10  4548  
[10-19 14:31:28]设置矿石资源打包信息：level, ItemID, Count, PileID 2  4545  10  4549  
[10-19 14:31:28]设置矿石资源打包信息：level, ItemID, Count, PileID 3  4546  10  4550  
[10-19 14:44:55]设置木材资源打包信息：Level, ItemID, Count, PileID 1  4543  10  4547  
[10-19 14:44:55]设置矿石资源打包信息：level, ItemID, Count, PileID 1  4544  10  4548  
[10-19 14:44:55]设置矿石资源打包信息：level, ItemID, Count, PileID 2  4545  10  4549  
[10-19 14:44:55]设置矿石资源打包信息：level, ItemID, Count, PileID 3  4546  10  4550  
[10-19 14:46:56]设置木材资源打包信息：Level, ItemID, Count, PileID 1  4543  10  4547  
[10-19 14:46:56]设置矿石资源打包信息：level, ItemID, Count, PileID 1  4544  10  4548  
[10-19 14:46:56]设置矿石资源打包信息：level, ItemID, Count, PileID 2  4545  10  4549  
[10-19 14:46:56]设置矿石资源打包信息：level, ItemID, Count, PileID 3  4546  10  4550  
[10-19 19:33:04]设置木材资源打包信息：Level, ItemID, Count, PileID 1  4543  10  4547  
[10-19 19:33:04]设置矿石资源打包信息：level, ItemID, Count, PileID 1  4544  10  4548  
[10-19 19:33:04]设置矿石资源打包信息：level, ItemID, Count, PileID 2  4545  10  4549  
[10-19 19:33:04]设置矿石资源打包信息：level, ItemID, Count, PileID 3  4546  10  4550  
[11-13 17:21:44]设置木材资源打包信息：Level, ItemID, Count, PileID 1  4543  10  4547  
[11-13 17:21:44]设置矿石资源打包信息：level, ItemID, Count, PileID 1  4544  10  4548  
[11-13 17:21:44]设置矿石资源打包信息：level, ItemID, Count, PileID 2  4545  10  4549  
[11-13 17:21:44]设置矿石资源打包信息：level, ItemID, Count, PileID 3  4546  10  4550  
[11-14 01:56:17]设置木材资源打包信息：Level, ItemID, Count, PileID 1  4543  10  4547  
[11-14 01:56:17]设置矿石资源打包信息：level, ItemID, Count, PileID 1  4544  10  4548  
[11-14 01:56:17]设置矿石资源打包信息：level, ItemID, Count, PileID 2  4545  10  4549  
[11-14 01:56:17]设置矿石资源打包信息：level, ItemID, Count, PileID 3  4546  10  4550  
[11-17 20:14:54]设置木材资源打包信息：Level, ItemID, Count, PileID 1  4543  10  4547  
[11-17 20:14:54]设置矿石资源打包信息：level, ItemID, Count, PileID 1  4544  10  4548  
[11-17 20:14:54]设置矿石资源打包信息：level, ItemID, Count, PileID 2  4545  10  4549  
