[09-28 09:28:18]sizeof(Entity) = 540,  sizeof(Character) = 32220
[09-28 15:43:38]sizeof(Entity) = 540,  sizeof(Character) = 32220
[10-08 17:36:06]sizeof(Entity) = 540,  sizeof(Character) = 32220
[10-08 17:52:29]sizeof(Entity) = 540,  sizeof(Character) = 32220
[10-13 11:08:46]sizeof(Entity) = 540,  sizeof(Character) = 32220
[10-13 21:44:17]sizeof(Entity) = 540,  sizeof(Character) = 32220
[10-13 22:59:28]sizeof(Entity) = 540,  sizeof(Character) = 32220
[10-16 20:55:55]sizeof(Entity) = 540,  sizeof(Character) = 32220
[10-17 18:49:22]sizeof(Entity) = 540,  sizeof(Character) = 32220
[10-17 18:51:17]sizeof(Entity) = 540,  sizeof(Character) = 32220
[10-18 23:39:16]sizeof(Entity) = 540,  sizeof(Character) = 32220
[10-19 01:46:37]sizeof(Entity) = 540,  sizeof(Character) = 32220
[10-19 01:53:36]sizeof(Entity) = 540,  sizeof(Character) = 32220
[10-19 02:07:39]sizeof(Entity) = 540,  sizeof(Character) = 32220
[10-19 02:26:55]sizeof(Entity) = 540,  sizeof(Character) = 32220
[10-19 13:44:57]sizeof(Entity) = 540,  sizeof(Character) = 32220
[10-19 13:45:56]sizeof(Entity) = 540,  sizeof(Character) = 32220
[10-19 14:17:47]sizeof(Entity) = 540,  sizeof(Character) = 32220
[10-19 14:31:35]sizeof(Entity) = 540,  sizeof(Character) = 32220
[10-19 14:45:02]sizeof(Entity) = 540,  sizeof(Character) = 32220
[10-19 14:47:03]sizeof(Entity) = 540,  sizeof(Character) = 32220
[10-19 19:33:11]sizeof(Entity) = 540,  sizeof(Character) = 32220
[11-13 17:21:52]sizeof(Entity) = 540,  sizeof(Character) = 32220
[11-14 01:56:24]sizeof(Entity) = 540,  sizeof(Character) = 32220
[11-17 20:15:02]sizeof(Entity) = 540,  sizeof(Character) = 32220
[11-28 02:03:14]sizeof(Entity) = 540,  sizeof(Character) = 32220
[11-28 07:40:29]sizeof(Entity) = 540,  sizeof(Character) = 32220
[11-28 10:42:54]sizeof(Entity) = 540,  sizeof(Character) = 32220
[11-28 10:46:35]sizeof(Entity) = 540,  sizeof(Character) = 32220
[11-28 12:59:28]sizeof(Entity) = 540,  sizeof(Character) = 32220
[11-28 13:13:59]sizeof(Entity) = 540,  sizeof(Character) = 32220
[11-28 15:12:32]sizeof(Entity) = 540,  sizeof(Character) = 32220
[11-28 17:09:04]sizeof(Entity) = 540,  sizeof(Character) = 32220
[12-02 03:46:52]sizeof(Entity) = 540,  sizeof(Character) = 32220
[12-02 08:06:56]sizeof(Entity) = 540,  sizeof(Character) = 32220
[12-02 15:43:55]sizeof(Entity) = 540,  sizeof(Character) = 32220
[06-06 16:02:56]sizeof(Entity) = 540,  sizeof(Character) = 32216
