time,memory size,virtual memory size,physical available size
09-03 13:56:15,20.668,19.5703,1548.09
09-03 13:57:15,550.813,1206.09,185.277
09-03 13:58:15,553.191,1206.54,40.5586
09-03 13:59:15,553.695,1206.76,61.8828
09-03 14:00:15,553.734,1206.76,83.5547
09-03 14:01:15,553.77,1206.76,138.824
09-03 14:02:15,546.984,1206.93,117.781
09-03 14:03:15,546.984,1206.93,130.871
09-03 14:04:15,547.043,1206.95,152.422
09-03 14:05:15,547.047,1206.95,174.527
09-03 14:06:15,547.059,1206.95,188.363
09-03 14:07:15,547.063,1206.95,210.258
09-03 14:08:15,547.063,1206.95,231.527
09-03 14:09:15,547.066,1206.95,253.953
09-03 14:10:15,547.066,1206.95,276.379
09-03 14:11:15,547.07,1206.95,298.492
09-03 14:12:15,547.074,1206.95,391.801
09-03 14:13:15,9.49219,1207.03,666.43
