//序号	NPC名字	NPC类型	Chr索引ID	小地图显示	坐标起点	坐标终点	NPC面向	区域	区域编号	NPC脚本	消息處理	检测状态
0	铁匠·暴冰	1	436	1	134423,52988	134423,52988	174	冰狼堡下城	20	0	r_talk73	0
1	杂货商人·伯鲁	1	19	12	135671,48320	135671,48320	174	冰狼堡下城	20	0	r_talk74	0
2	药店老板·达赫	1	19	11	135298,49926	135298,49926	279	冰狼堡下城	20	0	r_talk75	0
3	护士小姐·安妮	1	419	3	131811,50056	131811,50056	-289	冰狼堡下城	20	0	r_talk76	0
4	新手指导·安琪露亚	1	11	15	131577,50700	131577,50700	144	冰狼堡下城	20	0	r_talk77	0
5	冰狼堡剑士·雷欧	1	5	0	136573,57078	136573,57078	219	冰狼堡下城	20	0	r_talk78	0
6	冰狼堡商会会长·艾立克	1	415	0	129486,49842	129486,49842	189	冰狼堡下城	20	0	r_talk79	0
7	冰狼堡贵族·马尔修斯	1	421	0	134652,45141	134652,45141	189	冰狼堡下城	20	0	r_talk80	0
8	银行出纳·布丽娜	1	27	0	136058,51931	136058,51931	264	冰狼堡下城	20	0	r_talk81	0
9	酒吧服务员·芭芭拉	1	400	0	131083,53031	131083,53031	204	冰狼堡下城	20	0	r_talk82	0
10	服装店主·翰娜	1	401	2	134926,53992	134926,53992	279	冰狼堡下城	20	0	r_talk83	0
11	旅店老板·约瑟夫	1	17	0	129074,54098	129074,54098	99	冰狼堡下城	20	0	r_talk84	0
12	冰狼堡传送使·海莉	1	400	7	132304,54403	132304,54403	324	冰狼堡下城	20	0	GoToWhere	0
13	路人·丁	1	425	0	133550,46900	133550,46900	189	冰狼堡下城	20	0	r_talk85	0
16	巡逻兵·小莫	1	12	0	123788,61340	123788,61340	159	阿兰比斯冰原	21	0	r_talk90	0
17	温莉·冰泉	1	444	0	138002,52336	138002,52336	24	冰狼堡上城	19	0	r_talk130	0
18	雷斯·小虫	1	402	0	137986,61256	137986,61256	174	冰狼堡上城	19	0	r_talk131	0
19	达米尔·嘟嘟	1	421	0	159085,53164	159085,53164	219	阿兰比斯冰原	21	0	r_talk132	0
20	狼牙拉姆	1	429	0	153655,70473	153655,70473	309	阿兰比斯冰原	21	0	r_talk134	0
21	仙尼埃尔斯	1	441	0	127507,67204	127507,67204	219	阿兰比斯冰原	21	0	r_talk135	0
22	艾伦娜	1	442	0	114118,57546	114118,57546	114	阿兰比斯冰原	21	0	r_talk136	0
23	赫尔达达	1	415	0	106780,45276	106780,45276	84	阿兰比斯冰原	21	0	r_talk137	0
24	约瑟夫·乔	1	420	0	96497,42207	96497,42207	144	阿兰比斯冰原	21	0	r_talk138	0
25	草莓优优	1	423	0	101059,35051	101059,35051	144	阿兰比斯冰原	21	0	r_talk139	0
26	伊文	1	424	0	142607,28569	142607,28569	129	阿兰比斯冰原	21	0	r_talk140	0
27	苏珊娜	1	437	0	116325,43576	116325,43576	174	阿兰比斯冰原	21	0	r_talk141	0
28	卡诺林	1	443	0	116056,69273	116056,69273	219	阿兰比斯冰原	21	0	r_talk142	0
29	詹姆斯	1	19	0	104332,78068	104332,78068	189	阿兰比斯冰原	21	0	r_talk143	0
30	露西丽丽雅	1	16	0	93685,81858	93685,81858	9	阿兰比斯冰原	21	0	r_talk144	0
31	尤兰达克	1	19	0	78915,79584	78915,79584	54	阿兰比斯冰原	21	0	r_talk145	0
32	科瑞其	1	404	0	99778,45483	99778,45483	144	阿兰比斯冰原	21	0	r_talk148	0
33	米歇尔梅林芬	1	443	0	128093,47812	128093,47812	294	冰狼堡下城	20	0	r_talk149	0
34	海港指挥·席林	1	442	9	121425,68118	121425,68118	159	阿兰比斯冰原	21	0	r_talk154	0
35	船工·乔治	1	405	0	122154,62890	122154,62890	129	阿兰比斯冰原	21	0	r_talk155	0
36	水手·埃迪加	1	445	0	122113,61745	122113,61745	99	阿兰比斯冰原	21	0	r_talk156	0
37	薇莉尔	1	16	0	102816,66840	102816,66840	99	阿兰比斯补给站	59	0	r_talk126	0
38	朱比	1	445	0	103790,67165	103790,67165	9	阿兰比斯补给站	59	0	r_talk170	0
39	奎赛斯·狂沙	1	431	0	102832,64970	102832,64970	174	阿兰比斯补给站	59	0	r_talk118	0
40	朱丽布玛	1	30	0	104946,67361	104946,67361	324	阿兰比斯补给站	59	0	r_talk106	0
41	尤塔里尼	1	420	11	105963,66117	105963,66117	303	阿兰比斯补给站	59	0	r_talk171	0
42	传送使·索非亚	1	400	7	104687,63961	104687,63961	84	阿兰比斯补给站	59	0	transmittal	0
43	通灵者·月光眼	1	442	0	213412,55559	213412,55559	129	骷髅营地补给站	60	0	r_talk119	0
44	修司	1	405	0	213813,54555	213813,54555	159	骷髅营地补给站	60	0	r_talk172	0
45	嘻嘻哈哈	1	413	11	214262,55609	214262,55609	204	骷髅营地补给站	60	0	r_talk173	0
46	传送使·美奈	1	400	7	211692,55139	211692,55139	144	骷髅营地补给站	60	0	transmittal	0
47	尼里艾亚·长发	1	443	0	267573,63174	267573,63174	170	冰极补给站	64	0	r_talk121	0
48	鲁鲁	1	402	0	266885,63490	266885,63490	159	冰极补给站	64	0	r_talk99	0
49	米开朗费罗	1	402	0	266292,64821	266292,64821	99	冰极补给站	64	0	r_talk174	0
50	法迪尔	1	17	11	268019,65721	268019,65721	-34	冰极补给站	64	0	r_talk95	0
51	传送使·阿尔提米斯	1	400	7	269637,63821	269637,63821	159	冰极补给站	64	0	transmittal	0
52	吉尔尼尼斯	1	421	0	80392,35216	80392,35216	144	冰都补给站	56	0	r_talk110	0
53	冬达米婆婆	1	26	0	79533,36321	79533,36321	88	冰都补给站	56	0	r_talk127	0
54	奈奈	1	24	0	79849,36993	79849,36993	54	冰都补给站	56	0	r_talk175	0
55	怪叟爷爷	1	429	11	80869,37361	80869,37361	39	冰都补给站	56	0	r_talk176	0
56	传送使·百合	1	400	7	81800,35420	81800,35420	159	冰都补给站	56	0	transmittal	0
57	阿泰	1	445	0	212875,54026	212875,54026	179	骷髅营地补给站	60	0	r_talk177	0
58	海港指挥·卢克	1	453	9	164218,198624	164218,198624	9	好运岛	70	0	r_talk202	0
59	海港指挥·乔尔乔尼	1	453	9	19433,171580	19433,171580	20	萨迪勒补给站	83	0	r_talk203	0
