//编号	被绑定实体ID	事件类型	实体摆放位置	实体摆放方向	目标地图名	目标地图位置	触发判定条件	名称
1	193	1	11580,2532	-1	garner	173675,267475	1	废矿2层-废矿1层
2	193	1	23864,2775	-1	garner	179525,264575	1	银矿2层-银矿1层
3	193	1	20123,14196	-1	eastgoaf	38675,12625	1	银矿2层-银矿3层
4	193	1	37934,12443	-1	eastgoaf	20836,13475	1	银矿3层-银矿2层
5	193	1	48389,3127	-1	eastgoaf	2875,12725	1	银矿3层-废矿2层
6	193	1	2425,13675	-1	eastgoaf	47425,3125	1	废矿2层-银矿3层
7	193	1	19932,24532	-1	darkblue	322775,244017	1	地下水道-春岛
8	193	1	4884,42919	-1	darkblue	315725,253770	1	地下水道-春岛
9	193	1	16025,42520	-1	eastgoaf	40738,28625	1	地下水道-海底隧道
10	193	1	40738,28625	-1	eastgoaf	16025,42520	1	海底隧道-地下水道
11	193	1	49288,41173	-1	darkblue	342381,298865	1	海底隧道-夏岛
12	193	1	46420,57325	-1	darkblue	287069,278270	1	海底隧道-秋岛
13	193	1	79570,54223	-1	darkblue	343081,329664	1	黑龙巢穴一层-夏岛
14	193	1	76165,72375	-1	darkblue	343081,329664	1	黑龙巢穴三层-夏岛

