time,memory size,virtual memory size,physical available size
06-06 15:43:27,5.07813,1.40234,2733.84
06-06 15:44:27,8.57031,6.89844,3021.25
06-06 15:45:27,8.10547,6.43359,2782.2
06-06 15:46:27,8.34375,6.67188,2727.56
06-06 15:47:27,8.34375,6.67188,2405.03
06-06 15:48:27,8.34375,6.67188,2449.1
06-06 15:49:27,8.34375,6.67188,2358.62
06-06 15:50:27,8.57031,6.89844,2312.03
06-06 15:51:27,8.57031,6.89844,2307.76
06-06 15:52:27,8.57031,6.89844,2224.96
06-06 15:53:27,8.57422,6.90234,2221.53
06-06 15:54:27,8.57422,6.90234,2220.41
06-06 15:55:27,8.57422,6.90234,2076.41
06-06 15:56:27,8.58203,7.14844,2034.67
06-06 15:57:27,8.58203,7.14844,2035.13
06-06 15:58:27,8.58203,7.14844,2030.19
06-06 15:59:27,8.58203,7.14844,2031.73
06-06 16:00:27,8.58203,7.14844,2028
06-06 16:01:27,8.58203,7.14844,1944.03
06-06 16:02:27,8.58203,7.14844,1974.56
06-06 16:03:27,8.61719,7.38672,779.789
06-06 16:04:27,8.8125,7.86328,1080.13
06-06 16:05:27,8.81641,7.86328,1083.22
06-06 16:06:27,8.82031,7.86328,1684.72
06-06 16:07:27,8.82031,7.86328,1660.28
06-06 16:08:27,8.82422,7.86328,1646.56
06-06 16:09:27,8.82422,7.86328,1650.73
06-06 16:10:27,8.82422,7.86328,1671.02
06-06 16:11:27,8.82422,7.86328,1672.59
06-06 16:12:27,8.82422,7.86328,1778.92
06-06 16:13:27,8.82813,7.86328,1702.7
06-06 16:14:27,8.82813,7.86328,1737.49
06-06 16:15:27,8.83594,7.86328,1738.63
06-06 16:16:27,8.75781,7.86328,2608.93
06-06 16:17:27,8.76172,7.86328,2604.63
06-06 16:18:27,8.76172,7.86328,2599.2
06-06 16:19:27,8.76172,7.86328,2597.88
06-06 16:20:27,8.76172,7.86328,2559.63
06-06 16:21:27,8.76172,7.86328,2553.74
06-06 16:22:27,8.76172,7.86328,2535.91
06-06 16:23:27,8.76172,7.86328,2536.66
06-06 16:24:27,8.76172,7.86328,2477.18
06-06 16:25:27,8.76172,7.86328,2485.98
06-06 16:26:27,8.76172,7.86328,2513.66
06-06 16:27:27,8.76172,7.86328,2517.69
