[08-07 09:18:05]日志流被成功打开.
[08-07 09:20:21](127.0.0.1)：[test0002]login success, 	 nline/total:1/0
[08-07 09:20:50](127.0.0.1)：[test0002]select char[878]begin paly...，	 online/total：1/0
[08-07 09:20:51](127.0.0.1):[test0002] char [878]entry map server begin play...，	 online/total:1/1
[07-09 09:25:19](127.0.0.1)：[test0002]logout,	 online/total:0/0
[07-09 09:27:06](127.0.0.1)：[test0002]login success, 	 nline/total:1/0
[07-09 09:27:17](127.0.0.1)：[test0002]select char[878]begin paly...，	 online/total：1/0
[07-09 09:27:17](127.0.0.1):[test0002] char [878]entry map server begin play...，	 online/total:1/1
[07-09 09:37:16](127.0.0.1)：[test0002]logout,	 online/total:0/0
[07-09 09:38:24](127.0.0.1)：[test0002]login success, 	 nline/total:1/0
[07-09 09:38:35](127.0.0.1)：[test0002]logout,	 online/total:0/0
[07-09 09:40:01](127.0.0.1)：[test0002]login success, 	 nline/total:1/0
[07-09 09:40:06](127.0.0.1)：[test0002]logout,	 online/total:0/0
[07-09 09:43:49](127.0.0.1)：[test0002]login success, 	 nline/total:1/0
[07-09 09:43:59](127.0.0.1)：[test0002]select char[878]begin paly...，	 online/total：1/0
[07-09 09:44:00](127.0.0.1):[test0002] char [878]entry map server begin play...，	 online/total:1/1
[07-09 09:45:59](127.0.0.1)：[test0002]logout,	 online/total:0/0
[07-09 09:50:12](127.0.0.1)：[test0002]login success, 	 nline/total:1/0
[07-09 09:50:24](127.0.0.1)：[test0002]select char[878]begin paly...，	 online/total：1/0
[07-09 09:50:24](127.0.0.1):[test0002] char [878]entry map server begin play...，	 online/total:1/1
[07-09 09:51:27](127.0.0.1)：[test0002]logout,	 online/total:0/0
[07-09 10:06:26](127.0.0.1)：[test0002]login success, 	 nline/total:1/0
[07-09 10:06:36](127.0.0.1)：[test0002]select char[878]begin paly...，	 online/total：1/0
[07-09 10:06:36](127.0.0.1):[test0002] char [878]entry map server begin play...，	 online/total:1/1
[07-09 10:08:07](127.0.0.1)：[test0002]logout,	 online/total:0/0
[07-09 10:08:24](127.0.0.1)：[test0002]login success, 	 nline/total:1/0
[07-09 10:08:28](127.0.0.1)：[test0002]select char[878]begin paly...，	 online/total：1/0
[07-09 10:13:14](127.0.0.1)：[test0002]select char[878]begin paly...，	 online/total：1/0
[07-09 10:13:14](127.0.0.1):[test0002] char [878]entry map server begin play...，	 online/total:1/1
[07-09 10:14:46](127.0.0.1)：[test0002]logout,	 online/total:0/0
[07-09 10:15:34](127.0.0.1)：[test0002]login success, 	 nline/total:1/0
[07-09 10:15:43](127.0.0.1)：[test0002]select char[878]begin paly...，	 online/total：1/0
[07-09 10:15:43](127.0.0.1):[test0002] char [878]entry map server begin play...，	 online/total:1/1
[07-09 10:17:50](127.0.0.1)：[test0002]logout,	 online/total:0/0
[07-09 10:18:06](127.0.0.1)：[test0002]login success, 	 nline/total:1/0
[07-09 10:20:12](127.0.0.1)：[test0002]select char[878]begin paly...，	 online/total：1/0
[07-09 10:20:12](127.0.0.1):[test0002] char [878]entry map server begin play...，	 online/total:1/1
[07-09 10:24:02](127.0.0.1)：[test0002]logout,	 online/total:0/0
[07-09 10:25:28](127.0.0.1)：[test0002]login success, 	 nline/total:1/0
[07-09 10:26:09](127.0.0.1)：[test0002]select char[878]begin paly...，	 online/total：1/0
[07-09 10:26:10](127.0.0.1):[test0002] char [878]entry map server begin play...，	 online/total:1/1
[07-09 10:30:07](127.0.0.1)：[test0002]exit char[878]begin entry select char UI...，	 online/total:1/0
[07-09 10:30:12](127.0.0.1)：[test0002]select char[878]begin paly...，	 online/total：1/0
[07-09 10:30:12](127.0.0.1):[test0002] char [878]entry map server begin play...，	 online/total:1/1
[07-09 10:39:00](127.0.0.1)：[test0002]logout,	 online/total:0/0
[07-09 11:01:26](127.0.0.1)：[test0002]login success, 	 nline/total:1/0
[07-09 11:01:41](127.0.0.1)：[test0002]select char[878]begin paly...，	 online/total：1/0
[07-09 11:01:42](127.0.0.1):[test0002] char [878]entry map server begin play...，	 online/total:1/1
[07-09 11:06:48](127.0.0.1)：[test0002]logout,	 online/total:0/0
[07-09 11:24:52](127.0.0.1)：[test0002]login success, 	 nline/total:1/0
[07-09 11:25:04](127.0.0.1)：[test0002]select char[878]begin paly...，	 online/total：1/0
[07-09 11:25:05](127.0.0.1):[test0002] char [878]entry map server begin play...，	 online/total:1/1
[07-09 11:27:28](127.0.0.1)：[test0002]exit char[878]begin entry select char UI...，	 online/total:1/0
[07-09 11:27:34](127.0.0.1)：[test0002]select char[878]begin paly...，	 online/total：1/0
[07-09 11:27:34](127.0.0.1):[test0002] char [878]entry map server begin play...，	 online/total:1/1
[07-09 11:28:07](127.0.0.1)：[test0002]logout,	 online/total:0/0
[07-09 11:28:15](127.0.0.1)：[test0002]login success, 	 nline/total:1/0
[07-09 11:28:21](127.0.0.1)：[test0002]select char[878]begin paly...，	 online/total：1/0
[07-09 11:28:21](127.0.0.1):[test0002] char [878]entry map server begin play...，	 online/total:1/1
[07-09 11:30:00](127.0.0.1)：[test0002]logout,	 online/total:0/0
[07-09 11:30:07](127.0.0.1)：[test0002]login success, 	 nline/total:1/0
[07-09 11:30:12](127.0.0.1)：[test0002]select char[878]begin paly...，	 online/total：1/0
[07-09 11:30:12](127.0.0.1):[test0002] char [878]entry map server begin play...，	 online/total:1/1
[07-09 11:30:45](127.0.0.1)：[test0002]logout,	 online/total:0/0
[07-09 11:30:53](127.0.0.1)：[test0002]login success, 	 nline/total:1/0
[07-09 11:30:56](127.0.0.1)：[test0002]select char[878]begin paly...，	 online/total：1/0
[07-09 11:30:57](127.0.0.1):[test0002] char [878]entry map server begin play...，	 online/total:1/1
[07-09 11:31:53](127.0.0.1)：[test0002]logout,	 online/total:0/0
[07-09 11:32:00](127.0.0.1)：[test0002]login success, 	 nline/total:1/0
[07-09 11:32:04](127.0.0.1)：[test0002]select char[878]begin paly...，	 online/total：1/0
