[09-03 13:29:54]Log stream open success.
[09-03 13:34:22](127.0.0.1)£º[test0001]login success, 	 nline/total:1/0
[09-03 13:34:44](127.0.0.1)£º[test0001]select char[55555]begin paly...£¬	 online/total£º1/0
[09-03 13:34:47](127.0.0.1)£º[test0001]select char[limeili]begin paly...£¬	 online/total£º1/0
[09-03 13:34:48](127.0.0.1):[test0001] char [limeili]entry map server begin play...£¬	 online/total:1/1
[09-03 13:36:26](127.0.0.1)£º[test0001]logout,	 online/total:0/0
[09-03 13:37:12](127.0.0.1)£º[test0001]login success, 	 nline/total:1/0
[09-03 13:37:16](127.0.0.1)£º[test0001]select char[limeili]begin paly...£¬	 online/total£º1/0
[09-03 13:37:16](127.0.0.1):[test0001] char [limeili]entry map server begin play...£¬	 online/total:1/1
[09-03 13:41:33](127.0.0.1)£º[test0001]logout,	 online/total:0/0
[09-03 13:44:46](127.0.0.1)£º[test0001]login success, 	 nline/total:1/0
[09-03 13:44:57](127.0.0.1)£º[test0001]select char[limeili]begin paly...£¬	 online/total£º1/0
[09-03 13:44:57](127.0.0.1):[test0001] char [limeili]entry map server begin play...£¬	 online/total:1/1
[09-03 13:48:45](127.0.0.1)£º[test0001]logout,	 online/total:0/0
[09-03 13:51:08](127.0.0.1)£º[test0001]login success, 	 nline/total:1/0
[09-03 13:51:15](127.0.0.1)£º[test0001]select char[limeili]begin paly...£¬	 online/total£º1/0
[09-03 13:51:15](127.0.0.1):[test0001] char [limeili]entry map server begin play...£¬	 online/total:1/1
[09-03 13:52:03](127.0.0.1)£º[test0001]logout,	 online/total:0/0
[09-03 13:57:27](127.0.0.1)£º[test0001]login success, 	 nline/total:1/0
[09-03 13:57:44](127.0.0.1)£º[test0001]select char[limeili]begin paly...£¬	 online/total£º1/0
[09-03 13:57:44](127.0.0.1):[test0001] char [limeili]entry map server begin play...£¬	 online/total:1/1
[09-03 14:01:11](127.0.0.1)£º[test0001]exit char[limeili]begin entry select char UI...£¬	 online/total:1/0
[09-03 14:01:16](127.0.0.1)£º[test0001]select char[limeili]begin paly...£¬	 online/total£º1/0
[09-03 14:01:16](127.0.0.1):[test0001] char [limeili]entry map server begin play...£¬	 online/total:1/1
[09-03 14:05:30](127.0.0.1)£º[test0001]exit char[limeili]begin entry select char UI...£¬	 online/total:1/0
[09-03 14:05:35](127.0.0.1)£º[test0001]select char[limeili]begin paly...£¬	 online/total£º1/0
[09-03 14:05:35](127.0.0.1):[test0001] char [limeili]entry map server begin play...£¬	 online/total:1/1
[09-03 14:11:21](127.0.0.1)£º[test0001]exit char[limeili]begin entry select char UI...£¬	 online/total:1/0
[09-03 14:11:25](127.0.0.1)£º[test0001]select char[limeili]begin paly...£¬	 online/total£º1/0
[09-03 14:11:25](127.0.0.1):[test0001] char [limeili]entry map server begin play...£¬	 online/total:1/1
[09-03 14:11:44](127.0.0.1)£º[test0001]logout,	 online/total:0/0
