[09-03 13:29:54]Log stream open success.
[09-03 13:34:49]online notice apprentice num:0
[09-03 13:34:49]online notice master num:0
[09-03 13:37:16]online notice apprentice num:0
[09-03 13:37:16]online notice master num:0
[09-03 13:44:57]online notice apprentice num:0
[09-03 13:44:57]online notice master num:0
[09-03 13:51:15]online notice apprentice num:0
[09-03 13:51:15]online notice master num:0
[09-03 13:57:44]online notice apprentice num:0
[09-03 13:57:44]online notice master num:0
[09-03 14:01:16]online notice apprentice num:0
[09-03 14:01:16]online notice master num:0
[09-03 14:05:35]online notice apprentice num:0
[09-03 14:05:35]online notice master num:0
[09-03 14:11:25]online notice apprentice num:0
[09-03 14:11:25]online notice master num:0
