[11-28 02:01:32]Log stream open success.
[11-28 05:51:21]Log stream open success.
[11-28 05:52:45](127.0.0.1):[yyy]login success, 	 nline/total:1/0
[11-28 05:52:59](127.0.0.1):[yyy]select char[ly]begin paly...£¬	 online/total:1/0
[11-28 05:53:02](127.0.0.1):[yyy] char [ly]entry map server begin play...£¬	 online/total:1/1
[11-28 05:53:23](127.0.0.1):[yyy]logout,	 online/total:0/0
[11-28 06:52:59](127.0.0.1):[yyy]login success, 	 nline/total:1/0
[11-28 06:53:14](127.0.0.1):[yyy]select char[5765]begin paly...£¬	 online/total:1/0
[11-28 06:53:15](127.0.0.1):[yyy] char [5765]entry map server begin play...£¬	 online/total:1/1
[11-28 06:53:50](127.0.0.1):[yyy]logout,	 online/total:0/0
[11-28 07:00:42](127.0.0.1):[yyy]login success, 	 nline/total:1/0
[11-28 07:01:08](127.0.0.1):[yyy]select char[5765]begin paly...£¬	 online/total:1/0
[11-28 07:01:08](127.0.0.1):[yyy] char [5765]entry map server begin play...£¬	 online/total:1/1
[11-28 07:01:14](127.0.0.1):[yyy]logout,	 online/total:0/0
[11-28 07:29:08](127.0.0.1):[yyy]login success, 	 nline/total:1/0
[11-28 07:29:10](127.0.0.1):[yyy]logout,	 online/total:0/0
[11-28 07:33:10](127.0.0.1):[yyy]login success, 	 nline/total:1/0
[11-28 07:33:12](127.0.0.1):[yyy]logout,	 online/total:0/0
[11-28 07:36:48](127.0.0.1):[yyy]login success, 	 nline/total:1/0
[11-28 07:36:53](127.0.0.1):[yyy]logout,	 online/total:0/0
[11-28 07:38:30](127.0.0.1):[yyy]login success, 	 nline/total:1/0
[11-28 07:38:49](127.0.0.1):[yyy]select char[5765]begin paly...£¬	 online/total:1/0
[11-28 07:38:50](127.0.0.1):[yyy] char [5765]entry map server begin play...£¬	 online/total:1/1
[11-28 07:39:36](127.0.0.1):[yyy]logout,	 online/total:0/0
[11-28 10:38:41](127.0.0.1):[yyy]login success, 	 nline/total:1/0
[11-28 10:38:46](127.0.0.1):[yyy]select char[5765]begin paly...£¬	 online/total:1/0
[11-28 10:38:49](127.0.0.1):[yyy]select char[ly]begin paly...£¬	 online/total:1/0
[11-28 10:38:52](127.0.0.1):[yyy]logout,	 online/total:0/0
[11-28 10:40:27](127.0.0.1):[yyy]login success, 	 nline/total:1/0
[11-28 10:40:30](127.0.0.1):[yyy]select char[5765]begin paly...£¬	 online/total:1/0
[11-28 10:40:34](127.0.0.1):[yyy]logout,	 online/total:0/0
[11-28 10:43:34](127.0.0.1):[yyy]login success, 	 nline/total:1/0
[11-28 10:43:39](127.0.0.1):[yyy]select char[ly]begin paly...£¬	 online/total:1/0
[11-28 10:43:39](127.0.0.1):[yyy] char [ly]entry map server begin play...£¬	 online/total:1/1
[11-28 10:45:07](127.0.0.1):[yyy]logout,	 online/total:0/0
[11-28 10:48:45](127.0.0.1):[yyy]login success, 	 nline/total:1/0
[11-28 10:50:10](127.0.0.1):[yyy]select char[5765]begin paly...£¬	 online/total:1/0
[11-28 10:50:10](127.0.0.1):[yyy]logout,	 online/total:0/0
[11-28 10:50:18](127.0.0.1):[yyy]login success, 	 nline/total:1/0
[11-28 10:51:18](127.0.0.1):[yyy]select char[5765]begin paly...£¬	 online/total:1/0
[11-28 10:51:18](127.0.0.1):[yyy]logout,	 online/total:0/0
[11-28 10:51:26](127.0.0.1):[yyy]login success, 	 nline/total:1/0
[11-28 10:51:29](127.0.0.1):[yyy]select char[5765]begin paly...£¬	 online/total:1/0
[11-28 10:51:29](127.0.0.1):[yyy] char [5765]entry map server begin play...£¬	 online/total:1/1
[11-28 10:51:56](127.0.0.1):[yyy]logout,	 online/total:0/0
[11-28 11:02:14](127.0.0.1):[yyy]login success, 	 nline/total:1/0
[11-28 11:02:17](127.0.0.1):[yyy]select char[5765]begin paly...£¬	 online/total:1/0
[11-28 11:02:17](127.0.0.1):[yyy] char [5765]entry map server begin play...£¬	 online/total:1/1
[11-28 11:02:54](127.0.0.1):[yyy]logout,	 online/total:0/0
[11-28 11:04:50](127.0.0.1):[yyy]login success, 	 nline/total:1/0
[11-28 11:04:53](127.0.0.1):[yyy]select char[5765]begin paly...£¬	 online/total:1/0
[11-28 11:04:53](127.0.0.1):[yyy] char [5765]entry map server begin play...£¬	 online/total:1/1
[11-28 11:04:59](127.0.0.1):[yyy]logout,	 online/total:0/0
[11-28 11:06:17](127.0.0.1):[yyy]login success, 	 nline/total:1/0
[11-28 11:06:20](127.0.0.1):[yyy]select char[5765]begin paly...£¬	 online/total:1/0
[11-28 11:06:20](127.0.0.1):[yyy] char [5765]entry map server begin play...£¬	 online/total:1/1
[11-28 11:06:29](127.0.0.1):[yyy]logout,	 online/total:0/0
[11-28 11:08:28](127.0.0.1):[yyy]login success, 	 nline/total:1/0
[11-28 11:08:31](127.0.0.1):[yyy]select char[5765]begin paly...£¬	 online/total:1/0
[11-28 11:08:31](127.0.0.1):[yyy] char [5765]entry map server begin play...£¬	 online/total:1/1
[11-28 11:13:07](127.0.0.1):[yyy]logout,	 online/total:0/0
[11-28 11:15:17](127.0.0.1):[yyy]login success, 	 nline/total:1/0
[11-28 11:15:20](127.0.0.1):[yyy]select char[5765]begin paly...£¬	 online/total:1/0
[11-28 11:15:20](127.0.0.1):[yyy] char [5765]entry map server begin play...£¬	 online/total:1/1
[11-28 11:17:48](127.0.0.1):[yyy]logout,	 online/total:0/0
[11-28 11:18:35](127.0.0.1):[yyy]login success, 	 nline/total:1/0
[11-28 11:18:39](127.0.0.1):[yyy]select char[5765]begin paly...£¬	 online/total:1/0
[11-28 11:18:39](127.0.0.1):[yyy] char [5765]entry map server begin play...£¬	 online/total:1/1
[11-28 11:19:42](127.0.0.1):[yyy]logout,	 online/total:0/0
