序号	NPC名字	NPC位置	坐标	区域
1	线上GM	白银城	2216,2783	加纳大陆
2	海盗公主灵儿	白银城	2232,2801	加纳大陆
3	新手指导·瑟安	白银城	2223,2785	加纳大陆
4	医护小姐·岚岚	白银城	2244,2770	加纳大陆
5	白银传送使·卓娅	白银城	2187,2776	加纳大陆
6	岛屿传送·斯兰芙	白银城	2248,2853	加纳大陆
7	海港指挥·雪莉	白银城	2243,2826	加纳大陆
8	双儿MM	白银城	2184,2776	加纳大陆
9	神秘的占卜师	白银城	2218,2782	加纳大陆
10	磨盒使者	白银城	2224,2768	加纳大陆
11	秘宝猎手·莱椰	白银城	2190,2775	加纳大陆
12	竞技场报名管理员	白银城	2201,2900	加纳大陆
13	竞技场传送管理员	白银城	2203,2902	加纳大陆
14	竞技场专员·逸天	白银城	2201,2894	加纳大陆
15	竞技场兑奖管理员	白银城	2210,2844	加纳大陆
16	彩票贩卖员彼德	白银城	2293,2824	加纳大陆
17	彩票兑换员帕查理	白银城	2296,2824	加纳大陆
18	彩票投注点	白银城	2294,2822	加纳大陆
19	存钱罐小猪	白银城	2292,2824	加纳大陆
20	竞技管理员	白银城	2210,2893	加纳大陆
21	海军募兵·蕾绮尔	白银城	2194,2774	加纳大陆
22	海盗情报·戈瓦撒	白银城	2224,2883	加纳大陆
23	海军情报·达隆丹	白银城	2201,2818	加纳大陆
24	神秘帽商	白银城	2240,2770	加纳大陆
25	铁匠·小金金	白银城	2193,2706	加纳大陆
26	服装店·尼萨婆婆	白银城	2267,2704	加纳大陆
27	服装店助理·蓓蓓	白银城	2265,2704	加纳大陆
28	杂货商人·吉普立	白银城	2232,2729	加纳大陆
29	药草商人·帝姆	白银城	2250,2770	加纳大陆
30	银行出纳·摩妮雅	白银城	2220,2704	加纳大陆
31	船工·斯巴克	白银城	2255,2801	加纳大陆
32	木材加工商	白银城	2261,2717	加纳大陆
33	潮流发型师·卡特	白银城	2215,2813	加纳大陆
34	旅店·玛拉依兰	白银城	2211,2781	加纳大陆
35	交易员·郝洛甫	白银城	2331,2821	加纳大陆
36	居民·玛格丽特	白银城	2279,2746	加纳大陆
37	城堡护卫·比特	白银城	2192,2767	加纳大陆
38	小山车	白银城	2193,2730	加纳大陆
39	首席秘书·斯克特	白银城	2219,2749	加纳大陆
40	老奶奶·贝蒂	白银城	2277,2769	加纳大陆
41	佛姆	白银城	2226,2726	加纳大陆
42	水手·海云	白银城	2219,2911	加纳大陆
43	海军少将·威尔斯	白银城	2277,2831	加纳大陆
44	沙岚城大使·席巴	白银城	2256,2706	加纳大陆
45	会长·劳伦迪马斯	白银城	2241,2748	加纳大陆
46	老者·糊涂山人	白银城	2272,2700	加纳大陆
47	城户纱织	白银城	2279,2757	加纳大陆
48	神秘老婆婆	白银城	2158,2792	加纳大陆
49	会长助理·罗伊	白银城	2240,2752	加纳大陆
50	酒吧女·蒂娜	白银城	2224,2887	加纳大陆
51	酒鬼·芬德内	白银城	2222,2889	加纳大陆
52	路人·甲	白银城	2215,2828	加纳大陆
53	海事助理·罗拉娜	白银城	2247,2858	加纳大陆
54	清洗机	白银城	2252,2779	加纳大陆
55	魔法师夏天	白银城	2229,2782	加纳大陆
56	活动介绍·爬爬	白银城	2222,2768	加纳大陆
57	活动兑奖员·槟果	白银城	2231,2715	加纳大陆
58	平民星矢	白银城野外	2110,2677	加纳大陆
59	贝壳商人·拉姆	德尔维平原	2061,2543	加纳大陆
60	打包人·索拉斯	德尔维平原	1879,2965	加纳大陆
61	少年·唐德	德尔维平原	1962,2694	加纳大陆
62	制造师·德萨克	德尔维平原	1732,2782	加纳大陆
63	D版商·走私兔	德尔维平原	2298,2520	加纳大陆
64	巡逻兵·马尔斯	德尔维平原	2065,2732	加纳大陆
65	福克	德尔维平原	2290,2495	加纳大陆
66	席特	德尔维平原	1858,2585	加纳大陆
67	布布	德尔维平原	1973,2457	加纳大陆
68	梅尔	德尔维平原	1963,2492	加纳大陆
69	小库尔森	德尔维平原	1635,2607	加纳大陆
70	玛姬婶婶	德尔维平原	2144,2552	加纳大陆
71	篝火	德尔维平原	2064,2735	加纳大陆
72	篝火婆婆	德尔维平原	2064,2737	加纳大陆
73	怨念草	德尔维平原	2141,2704	加纳大陆
74	传送使·梅亚	废矿补给站	1912,2802	加纳大陆
75	医护小姐·莱劳拉	废矿补给站	1913,2803	加纳大陆
76	打包人·乎勒达	废矿补给站	1907,2798	加纳大陆
77	饰品商人·布卡	废矿补给站	1889,2804	加纳大陆
78	治安官里卡尔	废矿补给站	1909,2820	加纳大陆
79	严罗塔	废矿补给站	1894,2798	加纳大陆
80	淘淘	废矿补给站	1893,2812	加纳大陆
81	克莉莉雅	废矿补给站	1914,2806	加纳大陆
82	古灵精	废矿补给站	1883,2805	加纳大陆
83	传送使·腓力莫菲	古里咯利补给站	1519,3076	加纳大陆
84	医护小姐·泰丽莎	古里咯利补给站	1521,3075	加纳大陆
85	打包人·摩根	古里咯利补给站	1522,3095	加纳大陆
86	古博拉	古里咯利补给站	1507,3105	加纳大陆
87	阿里克斯	古里咯利补给站	1526,3089	加纳大陆
88	榴莲	古里咯利补给站	1535,3071	加纳大陆
89	莲娜姨	古里咯利补给站	1510,3089	加纳大陆
90	赖安传送使·温蒂	赖安森林补给站	1018,2975	加纳大陆
91	医护小姐·拉法娜	赖安森林补给站	1018,2977	加纳大陆
92	饰品商人·里克	赖安森林补给站	996,2969	加纳大陆
93	医生·米奈希尔	赖安森林补给站	1004,2973	加纳大陆
94	传送使者·伊沙贝	瓦尔诺补给站	1121,2781	加纳大陆
95	医护小姐·克蕾雅	瓦尔诺补给站	1120,2782	加纳大陆
