//编号	名称	RGB颜色	背景音乐编号	背景颜色RGB值：","号隔开	背景光RGB值：","号隔开	背景光角度："x,y,z"	是否为城市
1	白银城	41,107,214	2	114,148,155	255,255,255	-1.0,-1.0,-1.0	1
2	白银城野外	235,44,169	12	114,148,155	255,255,255	-1.0,-1.0,-1.0	0
3	德尔维平原	3,33,187	12	114,148,155	255,255,255	-1.0,-1.0,-1.0	0
4	加纳平原	239,95,95	12	114,148,155	255,255,255	-1.0,-1.0,-1.0	0
5	赖安森林	76,252,16	12	120,120,120	255,255,255	-1.0,-1.0,-1.0	0
6	贝比平原	236,190,212	12	120,120,120	255,255,255	-1.0,-1.0,-1.0	0
7	卡尔加德雪原	237,81,6	12	86,129,130	255,255,255	-1.0,-1.0,-1.0	0
8	雷霆堡	69,77,153	3	120,120,110	255,255,255	-1.0,-1.0,-1.0	1
9	雷霆堡郊外	37,142,81	12	150,150,151	255,255,255	-1.0,-1.0,-1.0	0
10	雷霆堡军港	101,83,5	3	120,120,152	255,255,255	-1.0,-1.0,-1.0	0
11	圣林	92,51,236	11	128,128,128	255,255,255	-1.0,-1.0,-1.0	0
12	圣雪山	63,84,22	9	128,128,128	255,255,255	-1.0,-1.0,-1.0	0
13	沙岚新城	167,34,205	4	145,150,102	255,255,255	-1.0,-1.0,-1.0	1
14	沙岚旧城	204,143,96	4	145,150,103	255,255,255	-1.0,-1.0,-1.0	0
15	南部沙漠	212,243,78	12	145,150,104	255,255,255	-1.0,-1.0,-1.0	0
16	帕克荒漠	74,96,61	12	145,150,105	255,255,255	-1.0,-1.0,-1.0	0
17	摩尔克岛	203,238,47	12	128,128,128	255,255,255	-1.0,-1.0,-1.0	0
18	魔都	104,22,117	-1	128,128,128	255,255,255	-1.0,-1.0,-1.0	0
19	冰狼堡上城	147,109,53	12	110,171,199	255,255,255	-1.0,-1.0,-1.0	1
20	冰狼堡下城	51,244,13	6	110,171,199	255,255,255	-1.0,-1.0,-1.0	1
21	阿兰比斯冰原	76,230,5	12	110,171,199	255,255,255	-1.0,-1.0,-1.0	0
22	冰极	57,33,16	12	110,171,199	255,255,255	-1.0,-1.0,-1.0	0
23	军舰岛	115,17,139	9	128,128,128	255,255,255	-1.0,-1.0,-1.0	0
24	春风镇	208,161,90	13	128,128,128	255,255,255	-1.0,-1.0,-1.0	0
25	春之岛	80,99,145	13	128,128,128	255,255,255	-1.0,-1.0,-1.0	0
26	神秘山洞	50,216,246	9	128,128,128	255,255,255	-1.0,-1.0,-1.0	0
27	夏之岛	168,233,249	14	128,128,128	255,255,255	-1.0,-1.0,-1.0	0
28	原始雨林	128,114,64	12	128,128,128	255,255,255	-1.0,-1.0,-1.0	0
29	秋之岛	141,110,121	7	170,106,74	250,242,210	-1.0,-1.0,-1.0	0
30	德尔库枫林	236,161,43	12	128,128,128	255,255,255	-1.0,-1.0,-1.0	0
31	冰雪岛	114,54,146	12	128,128,128	255,255,255	-1.0,-1.0,-1.0	0
32	海风岛	103,182,118	12	128,128,128	255,255,255	-1.0,-1.0,-1.0	0
33	丛林岛	53,42,234	12	128,128,128	255,255,255	-1.0,-1.0,-1.0	0
34	竞技岛	221,243,5	12	128,128,128	255,255,255	-1.0,-1.0,-1.0	0
35	雪贼岛	49,78,9	12	128,128,128	255,255,255	-1.0,-1.0,-1.0	0
36	碎冰岛	240,207,11	12	128,128,128	255,255,255	-1.0,-1.0,-1.0	0
37	真爱岛	53,201,176	12	128,128,128	255,255,255	-1.0,-1.0,-1.0	0
38	鸣沙岛	185,149,202	12	128,128,128	255,255,255	-1.0,-1.0,-1.0	0
39	废矿1层	150,219,2	9	128,128,128	255,255,255	-1.0,-1.0,-1.0	0
40	废矿2层	18,252,192	9	128,128,128	255,255,255	-1.0,-1.0,-1.0	0
41	银矿1层	16,30,236	9	128,128,128	255,255,255	-1.0,-1.0,-1.0	0
42	银矿2层	21,170,32	9	128,128,128	255,255,255	-1.0,-1.0,-1.0	0
43	银矿3层	195,19,206	8	128,128,128	255,255,255	-1.0,-1.0,-1.0	0
44	寂寞之塔1层	67,65,130	10	128,128,128	255,255,255	-1.0,-1.0,-1.0	0
45	寂寞之塔2层	111,49,196	10	128,128,128	255,255,255	-1.0,-1.0,-1.0	0
46	寂寞之塔3层	115,252,101	10	128,128,128	255,255,255	-1.0,-1.0,-1.0	0
47	寂寞之塔4层	157,117,157	10	128,128,128	255,255,255	-1.0,-1.0,-1.0	0
48	寂寞之塔5层	47,213,183	10	128,128,128	255,255,255	-1.0,-1.0,-1.0	0
49	寂寞之塔6层	155,239,79	8	128,128,128	255,255,255	-1.0,-1.0,-1.0	0
50	神殿迷宫	68,251,228	9	128,128,128	255,255,255	-1.0,-1.0,-1.0	0
51	死灵岛	47,211,221	9	128,128,128	255,255,255	-1.0,-1.0,-1.0	0
52	沙窟	25,93,98	9	198,152,68	253,247,229	-1.0,-1.0,-1.0	0
53	赖安森林补给站	135,206,147	12	120,120,120	255,255,255	-1.0,-1.0,-1.0	0
54	卡尔加德补给站	125,70,239	12	86,129,130	255,255,255	-1.0,-1.0,-1.0	0
55	废矿补给站	84,137,128	12	114,148,155	255,255,255	-1.0,-1.0,-1.0	0
56	冰都补给站	108,55,216	12	128,128,128	255,255,255	-1.0,-1.0,-1.0	0
57	沙泉补给站	32,125,91	12	145,150,104	255,255,255	-1.0,-1.0,-1.0	0
58	古里咯利补给站	236,194,55	12	114,148,155	255,255,255	-1.0,-1.0,-1.0	0
59	阿兰比斯补给站	6,51,63	12	110,171,199	255,255,255	-1.0,-1.0,-1.0	0
60	骷髅营地补给站	249,33,4	12	110,171,199	255,255,255	-1.0,-1.0,-1.0	0
61	瓦尔诺补给站	121,144,53	12	120,120,120	255,255,255	-1.0,-1.0,-1.0	0
62	巴布补给站	214,153,143	12	145,150,104	255,255,255	-1.0,-1.0,-1.0	0
63	温拿补给站	15,218,22	12	120,120,120	255,255,255	-1.0,-1.0,-1.0	0
64	冰极补给站	212,158,103	12	110,171,199	255,255,255	-1.0,-1.0,-1.0	0
65	混乱绿洲	168,43,212	12	128,128,128	255,255,255	-1.0,-1.0,-1.0	0
66	神赐绿洲	126,30,242	12	128,128,128	255,255,255	-1.0,-1.0,-1.0	0
67	沙匪营地	118,79,29	12	128,128,128	255,255,255	-1.0,-1.0,-1.0	0
68	山贼大本营	221,65,111	12	128,128,128	255,255,255	-1.0,-1.0,-1.0	0
69	怪兽巢穴	200,149,199	12	128,128,128	255,255,255	-1.0,-1.0,-1.0	0
70	好运岛	191,103,213	12	128,128,128	255,255,255	-1.0,-1.0,-1.0	0
71	萨拉补给站	104,43,234	12	128,128,128	255,255,255	-1.0,-1.0,-1.0	0
72	阿尔补给站	224,199,62	12	128,128,128	255,255,255	-1.0,-1.0,-1.0	0
73	哈尔补给站	135,85,33	12	128,128,128	255,255,255	-1.0,-1.0,-1.0	0
74	弗里敦补给站	63,178,57	12	128,128,128	255,255,255	-1.0,-1.0,-1.0	0
75	苏港补给站	244,68,53	12	128,128,128	255,255,255	-1.0,-1.0,-1.0	0
