//编号	名称	船长证明	cha表ID	动作编号	船身	动力	船头	火炮	配件	等级限制	职业限制	船只耐久常数	船耐久恢复常数	船只防御力常数	船只resist常数	船只最小攻击力常数	船只最大攻击力常数	攻击距离常数	添弹时间常数	炮弹爆炸范围常数	货舱容量常数	船只补给常数	船只补给消耗常数	炮弹飞行速度常数	船移动速度常数	描述（道具等级）	备注
0001	毒刺炮艇	3988	305	405	43	15,16	8,9,10	53,54,55	73,74	15	-1	0	0	0	0	0	0	0	0	0	24	0	0	0	0	0	0
0002	搬运者I型	3988	306	405	44	17,18	11,12,13	56,57,58	73,74	20	-1	0	0	0	0	0	0	0	0	0	24	0	0	0	0	0	0
0003	飞鱼炮艇	3988	307	405	45	19,20	14,113,114	59,60,61	73,74	30	-1	0	0	0	0	0	0	0	0	0	24	0	0	0	0	0	0
0004	龟甲运输船	3988	308	405	46	146,147	124,125,126	71,72,157	73,74	15	-1	0	0	0	0	0	0	0	0	0	24	0	0	0	0	0	0
0005	追风者	3988	309	405	47	148,149	127,128,129	158,159,160	73,74	20	-1	0	0	0	0	0	0	0	0	0	24	0	0	0	0	0	0
0006	箭鱼穿梭艇	3988	310	405	48	150,151	130,131,132	161,162,163	73,74	30	-1	0	0	0	0	0	0	0	0	0	24	0	0	0	0	0	0
0007	低级船只7	3988	432	0	49	109	99	53,54	-1	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0008	低级船只8	3988	432	0	50	110	100	53,54	-1	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0009	低级船只9	3988	432	0	51	111	101	53,54	-1	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0010	低级船只10	3988	432	0	52	112	102	53,54	-1	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0011	幽灵战舰	3988	301	401	1	21,142	115,116,117,118	62,63,64	73,74,75	35	-1	0	0	0	0	0	0	0	0	0	32	0	0	0	0	0	0
0012	银甲海豚	3988	301	401	2	143,144	117,118,119,120,121	65,66,67	73,73	40	-1	0	0	0	0	0	0	0	0	0	32	0	0	0	0	0	0
0013	大白鲨	3988	301	401	3	145	120,121,122,123	68,69,70	73,74	45	-1	0	0	0	0	0	0	0	0	0	32	0	0	0	0	0	0
0014	炎浪战舰	3988	302	402	4	152,153	133,134,135	164,165,166	73,74,76	35	-1	0	0	0	0	0	0	0	0	0	32	0	0	0	0	0	0
0015	女神	3988	302	402	5	154,155	136,137,138	167,168,169	73,74	40	-1	0	0	0	0	0	0	0	0	0	32	0	0	0	0	0	0
0016	猎鹰护卫舰	3988	303	403	6	156	139,140,141	170,171,172	73,74,76	45	-1	0	0	0	0	0	0	0	0	0	32	0	0	0	0	0	0
0017	方舟	3988	304	404	7	21	14	53,54	-1	0	-1	0	0	0	0	0	0	0	0	0	32	0	0	0	0	0	0
