//序号	NPC名字	NPC类型	Chr索引ID	小地图显示	坐标起点	坐标终点	NPC面向	区域	区域编号	NPC脚本	消息處理	检测状态
0	白银传送使·卓娅	1	11	7	218700,277600	218700,277600	180	白银城	1	0	GoToWhere	0
1	白银城首席秘书·斯克特	1	14	0	221925,274925	221925,274925	180	白银城	1	0	r_talk01	r_npcstate01
2	铁匠·小金金	1	20	1	219312,270612	219312,270612	114	白银城	1	0	r_trade01	0
3	城堡护卫·比特	1	5	0	219220,276700	219220,276700	90	白银城	1	0	r_talk86	0
4	居民·玛格丽特	1	28	0	227930,274654	227930,274654	84	白银城	1	0	r_talk08	0
5	老奶奶·贝蒂	1	18	0	227725,276925	227725,276925	180	白银城	1	0	r_talk02	r_npcstate02
6	小山车	1	425	0	219350,273050	219350,273050	90	白银城	1	0	r_talk06	0
7	交易员·郝洛甫	1	17	4	233107,282194	233107,282194	234	白银城	1	0	r_talk10	0
8	药草商人·帝姆	1	17	11	225075,277025	225075,277025	180	白银城	1	0	r_talk03	r_npcstate03
9	银行出纳·摩妮雅	1	16	0	222050,270400	222050,270400	180	白银城	1	0	r_talk13	0
10	旅店老板·玛拉依兰	1	13	0	221150,278125	221150,278125	180	白银城	1	0	r_talk09	0
11	佛姆	1	421	0	222629,272668	222629,272668	219	白银城	1	0	r_talk11	0
12	水手·海云	1	410	0	221925,291131	221925,291131	179	白银城	1	0	r_talk12	0
13	海军少将·威尔斯	1	416	0	227789,283199	227789,283199	84	白银城	1	0	r_talk14	0
14	医护小姐·岚岚	1	29	3	224487,277032	224487,277032	180	白银城	1	0	r_talk04	r_npcstate04
15	沙岚城大使·席巴	1	416	0	225648,270640	225648,270640	180	白银城	1	0	r_talk15	0
16	白银城商会会长·劳伦迪马斯	1	415	0	224156,274843	224156,274843	264	白银城	1	0	r_talk16	0
17	老者·糊涂山人	1	420	0	227208,270036	227208,270036	180	白银城	1	0	r_talk17	0
18	杂货商人·吉普立	1	17	12	223200,272900	223200,272900	175	白银城	1	0	r_talk07	0
19	服装店·尼萨婆婆	1	18	2	226781,270475	226781,270475	180	白银城	1	0	BT_NpcSale001	0
20	会长助理·罗伊	1	16	0	224075,275275	224075,275275	270	白银城	1	0	r_talk18	0
21	新手指导·瑟安	1	11	15	222375,278525	222375,278525	180	白银城	1	0	BT_NewUser001	BT_State002
22	酒吧女·蒂娜	1	11	0	222499,288750	222499,288750	264	白银城	1	0	r_talk05	0
23	路人·甲	1	402	0	221588,282819	221588,282819	219	白银城	1	0	r_talk19	0
24	酒鬼·芬德内	1	10	0	222270,288954	222270,288954	54	白银城	1	0	r_talk20	0
25	少年·唐德	1	414	0	196225,269425	196225,269425	115	德尔维平原	3	0	r_talk21	0
26	制造师·德萨克	1	429	0	173269,278261	173269,278261	189	德尔维平原	3	0	r_talk22	0
27	D版商·走私兔	1	10	0	229833,252025	229833,252025	89	德尔维平原	3	0	r_talk23	0
28	海军司令官·德斯塔罗	1	417	0	71350,141619	71350,141619	174	雷霆堡	8	0	r_talk24	0
29	酒吧服务员·米娜	1	413	0	99089,126306	99089,126306	84	雷霆堡军港	10	0	r_talk25	0
30	水手·迪奥	1	410	0	108330,128563	108330,128563	54	雷霆堡军港	10	0	r_talk26	0
31	交易员·桑吉	1	17	4	100321,130662	100321,130662	54	雷霆堡军港	10	0	r_talk27	0
32	军医·玛沙	1	406	3	77300,154900	77300,154900	270	雷霆堡	8	0	r_talk28	0
33	银行出纳·玛卡多	1	24	0	74300,153400	74300,153400	225	雷霆堡	8	0	r_talk29	0
34	铁匠·佛朗哥	1	22	1	76662,144769	76662,144769	-94	雷霆堡	8	0	r_talk30	0
35	少女·辛蒂	1	11	0	74026,145143	74026,145143	189	雷霆堡	8	0	r_talk31	0
36	沙岚驻雷霆堡大使·埃德加	1	416	0	71220,150827	71220,150827	174	雷霆堡	8	0	r_talk32	0
