//序号	NPC名字	NPC类型	Chr索引ID	小地图显示	坐标起点	坐标终点	NPC面向	区域	区域编号	NPC脚本	消息處理	检测状态
1	伊丽莎白	1	804	0	61653,96548	61653,96548	43	藏宝海湾	103	0	l_talk04	0
2	诺灵顿	1	798	0	104250,13477	104250,13477	114	海军基地	102	0	l_talk03	0
3	杰克史派罗	1	802	0	23088,57990	23088,57990	355	骷髅岛	101	0	l_talk02	0
4	威尔·特纳	1	803	0	51611,40767	51611,40767	301	骷髅岛	101	0	l_talk01	0
5	藏宝海湾北海港指挥·凯奇	1	803	9	63133,92771	63133,92771	180	藏宝海湾	103	0	mmm_talk05	0
6	藏宝海湾北海港指挥·彭尼	1	452	9	65815,99328	65815,99328	180	藏宝海湾	103	0	mmm_talk06	0
7	骷髅海港指挥	1	452	9	61212,62222	61212,62222	128	骷髅岛	101	0	mmm_talk07	0
8	神秘人出海人	1	452	9	37011,16511	37011,16511	250	骷髅岛	101	0	mmm_talk08	0
9	海军基地海港指挥	1	453	9	108211,21111	108211,21111	250	海军基地	102	0	mmm_talk09	0
10	打包人·戴普	1	459	9	61267,94517	61267,94517	145	藏宝海湾	103	0	mmm_talk10	0
11	地狱传送使	1	190	7	69076,104321	69076,104321	30	藏宝海湾	103	0	mmm_talk11	0
12	天堂传送使	1	429	7	47411,105411	47411,105411	236	藏宝海湾	103	0	mmm_talk12	0
13	迷失的考古队成员A	1	425	0	100010,27166	100010,27166	30	海军基地	103	0	mmm_talk13	0
14	迷失的考古队成员B	1	421	0	99622,26577	99622,26577	-163	海军基地	103	0	mmm_talk14	0
15	迷失的考古队成员C	1	19	0	98934,26958	98934,26958	30	海军基地	103	0	mmm_talk15	0
16	陆地一层传送使	1	401	7	107632,13732	107632,13732	166	水下实验室	103	0	mmm_talk16	0
17	实验室看守人A	1	423	7	97429,83023	97429,83023	88	水下实验室	105	0	mmm_talk17	0
18	实验室看守人B	1	429	7	97429,90675	97429,90675	88	水下实验室	105	0	mmm_talk18	0
19	实验室看守人C	1	423	7	97429,99375	97429,99375	88	水下实验室	105	0	mmm_talk19	0
20	地下船坞守卫	1	423	7	125285,100575	125285,100575	95	地下船坞	104	0	mmm_talk20	0
22	地狱一层炼狱人	1	423	7	19927,82473	19927,82473	90	地狱一层	107	0	mmm_talk22	0
23	地狱二层炼狱人	1	424	7	9073,81628	9073,81628	200	地狱二层	107	0	mmm_talk23	0
24	地狱三层炼狱人	1	425	7	7076,95272	7076,95272	42	地狱三层	107	0	mmm_talk24	0
25	地狱四层炼狱人	1	425	7	20913,95571	20913,95571	42	地狱四层	107	0	mmm_talk25	0
26	迷失的考古队成员D	1	425	0	113811,26111	113811,26111	30	海军基地	103	0	mmm_talk26	0
27	迷失的考古队成员E	1	421	0	112811,26811	112811,26811	-163	海军基地	103	0	mmm_talk27	0
28	迷失的考古队成员F	1	19	0	113311,26711	113311,26711	30	海军基地	103	0	mmm_talk28	0
29	女神	1	262	7	175520,90875	175520,90875	269	天堂	103	0	mmm_talk30	0
30	转生天使	1	284	7	175440,91479	175440,91479	310	天堂	103	0	zsts_talk	0
//31	织女	1	774	0	159920,90975	159920,90975	269	天堂	103	0	amon_talk3	0
32	洛克家的旺财	1	829	0	15400,91200	15400,91200	150	地狱四层	107	0	el_talk23	0
33	百慕大守护者	1	772	0	66900,106400	66900,106400	43	藏宝海湾	103	0	k_talk002	0
34	誉之神仆	1	1064	7	174940,91479	174940,91479	310	天堂	103	0	k_talk003	0
35	教皇史昂	1	23	7	174940,90279	174940,90279	230	天堂	103	0	dina_talk10	0
36	小天使	1	284	7	175440,90279	175440,90279	230	天堂	103	0	dina_talk11	0
37	平民瞬	1	871	0	61900,96500	61900,96500	90	藏宝海湾	103	0	sds_talk05	0
38	平民一辉	1	874	0	33600,17400	33600,17400	180	地狱一层	107	0	sds_talk06	0
