[09-28 09:28:00]AddBoatLevel: count, level, money, exp 1  2  2  4  
[09-28 09:28:00]AddBoatLevel: count, level, money, exp 2  3  5  9  
[09-28 09:28:00]AddBoatLevel: count, level, money, exp 3  4  8  16  
[09-28 09:28:00]AddBoatLevel: count, level, money, exp 4  5  13  25  
[09-28 09:28:00]AddBoatLevel: count, level, money, exp 5  6  18  36  
[09-28 09:28:00]AddBoatLevel: count, level, money, exp 6  7  24  49  
[09-28 09:28:00]AddBoatLevel: count, level, money, exp 7  8  31  64  
[09-28 09:28:00]AddBoatLevel: count, level, money, exp 8  9  40  81  
[09-28 09:28:00]AddBoatLevel: count, level, money, exp 9  10  50  100  
[09-28 09:28:00]AddBoatLevel: count, level, money, exp 10  11  61  121  
[09-28 09:28:00]AddBoatLevel: count, level, money, exp 11  12  75  144  
[09-28 09:28:00]AddBoatLevel: count, level, money, exp 12  13  91  169  
[09-28 09:28:00]AddBoatLevel: count, level, money, exp 13  14  109  196  
[09-28 09:28:00]AddBoatLevel: count, level, money, exp 14  15  130  225  
[09-28 09:28:00]AddBoatLevel: count, level, money, exp 15  16  155  256  
[09-28 09:28:00]AddBoatLevel: count, level, money, exp 16  17  183  289  
[09-28 09:28:00]AddBoatLevel: count, level, money, exp 17  18  216  324  
[09-28 09:28:00]AddBoatLevel: count, level, money, exp 18  19  253  361  
[09-28 09:28:00]AddBoatLevel: count, level, money, exp 19  20  296  400  
[09-28 09:28:00]AddBoatLevel: count, level, money, exp 20  21  345  441  
[09-28 09:28:00]AddBoatLevel: count, level, money, exp 21  22  402  484  
[09-28 09:28:00]AddBoatLevel: count, level, money, exp 22  23  466  529  
[09-28 09:28:00]AddBoatLevel: count, level, money, exp 23  24  540  576  
[09-28 09:28:00]AddBoatLevel: count, level, money, exp 24  25  625  625  
[09-28 09:28:00]AddBoatLevel: count, level, money, exp 25  26  721  676  
[09-28 09:28:00]AddBoatLevel: count, level, money, exp 26  27  831  729  
[09-28 09:28:00]AddBoatLevel: count, level, money, exp 27  28  957  784  
[09-28 09:28:00]AddBoatLevel: count, level, money, exp 28  29  1101  841  
[09-28 09:28:00]AddBoatLevel: count, level, money, exp 29  30  1264  900  
[09-28 09:28:00]AddBoatLevel: count, level, money, exp 30  31  1451  961  
[09-28 09:28:00]AddBoatLevel: count, level, money, exp 31  32  1663  1024  
[09-28 09:28:00]AddBoatLevel: count, level, money, exp 32  33  1905  1089  
[09-28 09:28:00]AddBoatLevel: count, level, money, exp 33  34  2180  1156  
[09-28 09:28:00]AddBoatLevel: count, level, money, exp 34  35  2494  1225  
[09-28 09:28:00]AddBoatLevel: count, level, money, exp 35  36  2850  1296  
[09-28 09:28:00]AddBoatLevel: count, level, money, exp 36  37  3256  1369  
[09-28 09:28:00]AddBoatLevel: count, level, money, exp 37  38  3718  1444  
[09-28 09:28:00]AddBoatLevel: count, level, money, exp 38  39  4242  1521  
[09-28 09:28:00]AddBoatLevel: count, level, money, exp 39  40  4838  1600  
[09-28 09:28:00]AddBoatLevel: count, level, money, exp 40  41  5516  1681  
[09-28 09:28:00]AddBoatLevel: count, level, money, exp 41  42  6286  1764  
[09-28 09:28:00]AddBoatLevel: count, level, money, exp 42  43  7161  1849  
[09-28 09:28:00]AddBoatLevel: count, level, money, exp 43  44  8154  1936  
[09-28 09:28:00]AddBoatLevel: count, level, money, exp 44  45  9283  2025  
[09-28 09:28:00]AddBoatLevel: count, level, money, exp 45  46  10565  2116  
[09-28 09:28:00]AddBoatLevel: count, level, money, exp 46  47  12020  2209  
[09-28 09:28:00]AddBoatLevel: count, level, money, exp 47  48  13672  2304  
[09-28 09:28:00]AddBoatLevel: count, level, money, exp 48  49  15548  2401  
[09-28 09:28:00]AddBoatLevel: count, level, money, exp 49  50  17677  2500  
[09-28 09:28:00]AddBoatLevel: count, level, money, exp 50  51  20094  2601  
[09-28 09:28:00]AddBoatLevel: count, level, money, exp 51  52  22837  2704  
[09-28 09:28:00]AddBoatLevel: count, level, money, exp 52  53  25950  2809  
[09-28 09:28:00]AddBoatLevel: count, level, money, exp 53  54  29483  2916  
[09-28 09:28:00]AddBoatLevel: count, level, money, exp 54  55  33492  3025  
[09-28 09:28:00]AddBoatLevel: count, level, money, exp 55  56  38041  3136  
[09-28 09:28:00]AddBoatLevel: count, level, money, exp 56  57  43202  3249  
[09-28 09:28:00]AddBoatLevel: count, level, money, exp 57  58  49058  3364  
[09-28 09:28:00]AddBoatLevel: count, level, money, exp 58  59  55703  3481  
[09-28 09:28:00]AddBoatLevel: count, level, money, exp 59  60  63242  3600  
[09-28 09:28:00]AddBoatLevel: count, level, money, exp 60  61  71795  3721  
[09-28 09:28:00]AddBoatLevel: count, level, money, exp 61  62  81499  3844  
[09-28 09:28:00]AddBoatLevel: count, level, money, exp 62  63  92508  3969  
[09-28 09:28:00]AddBoatLevel: count, level, money, exp 63  64  104997  4096  
[09-28 09:28:00]AddBoatLevel: count, level, money, exp 64  65  119167  4225  
[09-28 09:28:00]AddBoatLevel: count, level, money, exp 65  66  135242  4356  
[09-28 09:28:00]AddBoatLevel: count, level, money, exp 66  67  153480  4489  
[09-28 09:28:00]AddBoatLevel: count, level, money, exp 67  68  174170  4624  
[09-28 09:28:00]AddBoatLevel: count, level, money, exp 68  69  197644  4761  
[09-28 09:28:00]AddBoatLevel: count, level, money, exp 69  70  224276  4900  
[09-28 09:28:00]AddBoatLevel: count, level, money, exp 70  71  254492  5041  
[09-28 09:28:00]AddBoatLevel: count, level, money, exp 71  72  288773  5184  
[09-28 09:28:00]AddBoatLevel: count, level, money, exp 72  73  327669  5329  
[09-28 09:28:00]AddBoatLevel: count, level, money, exp 73  74  371800  5476  
[09-28 09:28:00]AddBoatLevel: count, level, money, exp 74  75  421875  5625  
[09-28 09:28:00]AddBoatLevel: count, level, money, exp 75  76  478692  5776  
[09-28 09:28:00]AddBoatLevel: count, level, money, exp 76  77  543165  5929  
[09-28 09:28:00]AddBoatLevel: count, level, money, exp 77  78  616324  6084  
