//小花园跳转点列表								
//编号	被绑定实体ID	事件类型	实体摆放位置	实体摆放方向	目标地图名	目标地图位置	触发判定条件	名称
1	193	1	15100,18300	-1	hell3	10500,18300	1	左
2	193	1	15400,15000	-1	hell3	10200,10000	1	左上
3	193	1	18900,14900	-1	hell3	19000,10000	1	上
4	193	1	22300,15200	-1	hell3	27500,10000	1	右上
5	193	1	22300,18300	-1	hell3	27100,18300	1	右
6	193	1	22300,21900	-1	hell3	27500,26900	1	右下
7	193	1	18700,22200	-1	hell3	18800,26900	1	下
8	193	1	15400,22000	-1	hell3	10300,27100	1	左下
9	193	1	10500,18100	-1	hell3	15100,18300	1	回左
10	193	1	10200,10000	-1	hell3	15400,15000	1	回左上
11	193	1	19000,10000	-1	hell3	18900,14900	1	回上
12	193	1	27500,10000	-1	hell3	22300,15200	1	回右上
13	193	1	27100,18300	-1	hell3	22300,18300	1	回右
14	193	1	27500,26900	-1	hell3	22300,21900	1	回右下
15	193	1	18800,26900	-1	hell3	18700,22200	1	回下
16	193	1	10300,27100	-1	hell3	15400,22000	1	回左下
