//小花园跳转点列表								
//编号	被绑定实体ID	事件类型	实体摆放位置	实体摆放方向	目标地图名	目标地图位置	触发判定条件	名称
1	193	1	17400,16800	-1	secretgarden	14400,14100	1	上边
2	193	1	14400,14100	-1	secretgarden	17400,16800	1	上边
3	193	1	30500,17500	-1	secretgarden	33000,15000	1	上边
4	193	1	33000,15000	-1	secretgarden	30500,17500	1	上边
5	193	1	18800,23900	-1	secretgarden	8500,21500	1	中间
6	193	1	8500,21500	-1	secretgarden	18800,23900	1	中间
7	193	1	28000,23500	-1	secretgarden	38300,24200	1	中间
8	193	1	38300,24200	-1	secretgarden	28000,23500	1	中间
9	193	1	17300,29700	-1	secretgarden	14000,32700	1	下边
10	193	1	14000,32700	-1	secretgarden	17300,29700	1	下边
11	193	1	30000,30500	-1	secretgarden	32500,33000	1	下边
12	193	1	32500,33000	-1	secretgarden	30000,30500	1	下边
