//编号	名称	触发间隔	转移持续时间	使用效果脚本	移除效果脚本	替换原则	是否可手动取消	可否移动	可否释放技能	可否普通攻击	可否交易	可否使用物品	是否可被攻击	可否被别人使用物品	可否被别人使用技能	是否被人看见	是否被强制显形	是否可操作背包	是否可与npc对话	解除效果编号	屏幕效果	客户端表现	客户端表现标识	状态地面效果	中心点显示	击晕表现	挂效果方特效表现	dummy1	该状态下受击特效表现	dummy2	ICON	说明	描述	表现形式	备注
1	燃烧	1	State_Rs_Tran	State_Rs_Add	State_Rs_Rem	1	0	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	-1	112	0	0	115	2	0	0	0	0	0	0	0
2	回复温泉	3	State_Hfwq_Tran	State_Hfwq_Add	State_Hfwq_Rem	1	0	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	-1	268	1	0	166	-1	0	0	0	0	0	0	0
3	诅咒之火	-1	State_Zzzh_Tran	State_Zzzh_Add	State_Zzzh_Rem	1	0	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	-1	0	0	0	158	-1	0	0	0	0	0	0	0
4	中毒	1	State_Zd_Tran	State_Zd_Add	State_Zd_Rem	1	0	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	-1	0	0	0	250	2	0	0	0	0	0	0	0
5	闪躲壁障	-1	State_Sdbz_Tran	State_Sdbz_Add	State_Sdbz_Rem	1	0	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	-1	173	0	0	174	-1	0	0	0	0	0	0	0
6	圣眼之翼	-1	State_Syzy_Tran	0	0	1	0	1	1	1	1	1	1	1	1	1	0	1	1	0	0	0	-1	176	1	0	0	-1	0	0	0	0	0	0	0
7	深渊泥沼	-1	State_Synz_Tran	State_Synz_Add	State_Synz_Rem	1	0	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	-1	0	0	0	240	-1	0	0	0	0	0	0	0
9	雷暴	2	State_Larea_Tran	State_Larea_Add	State_Larea_Rem	1	0	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	7	292	0	0	0	0	0	0	0	0	0	0	0
10	迷雾	2	State_Warea_Tran	State_Warea_Add	State_Warea_Rem	1	0	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	8	293	0	0	0	0	0	0	0	0	0	0	0
11	龙卷风	2	State_Farea_Tran	State_Farea_Add	State_Farea_Rem	1	0	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	5	291	0	0	0	0	0	0	0	0	0	0	0
