[08-22 12:15:15]Log stream open success.
[08-22 12:15:16]begin connect database
[08-22 12:15:16]begin init AccountServer connect
[08-22 12:15:16]AccountServer:127.0.0.1,1978come ! Socket num:1
[08-22 12:15:16]begin read GroupServer.cfg
[08-22 12:15:16]begin load ChaNameFilter.txt
[08-22 12:15:16]begin listen port:1975
[08-22 12:15:16]open listen port:1975success, init is ok
[08-22 12:15:20]GateServer:127.0.0.1,3753come ! Socket num:2
[08-22 12:20:20]GateServer:127.0.0.1,3784come ! Socket num:3
[08-22 12:20:20]GateServer:127.0.0.1,3790come ! Socket num:3
[08-22 12:20:20]AccountServer:127.0.0.1,1978go ! Socket num:0reason=(10053)您的主机中的软件放弃了一个已建立的连接。
[08-22 12:20:20]GateServer:127.0.0.1,3753go ! Socket num:0reason=(10053)您的主机中的软件放弃了一个已建立的连接。
[08-22 12:20:20]GateServer:127.0.0.1,3784go ! Socket num:1reason=(65534)程序采用的默认反连接。
[08-22 12:20:21]GateServer:127.0.0.1,3793come ! Socket num:2
[08-22 12:20:21]GateServer:127.0.0.1,3793go ! Socket num:1reason=(65534)程序采用的默认反连接。
[08-22 12:20:25]AccountServer:127.0.0.1,1978come ! Socket num:2
[08-22 12:20:26]GateServer:127.0.0.1,3795come ! Socket num:3
[08-22 12:20:26]GateServer:127.0.0.1,3795go ! Socket num:2reason=(65534)程序采用的默认反连接。
[08-22 12:20:31]GateServer:127.0.0.1,3797come ! Socket num:3
[08-22 12:20:31]GateServer:127.0.0.1,3797go ! Socket num:2reason=(65534)程序采用的默认反连接。
[08-22 12:20:36]GateServer:127.0.0.1,3798come ! Socket num:3
[08-22 12:20:36]GateServer:127.0.0.1,3798go ! Socket num:2reason=(65534)程序采用的默认反连接。
[08-22 12:20:41]GateServer:127.0.0.1,3800come ! Socket num:3
[08-22 12:20:41]GateServer:127.0.0.1,3800go ! Socket num:2reason=(65534)程序采用的默认反连接。
[08-22 12:20:46]GateServer:127.0.0.1,3801come ! Socket num:3
[08-22 12:20:46]GateServer:127.0.0.1,3801go ! Socket num:2reason=(65534)程序采用的默认反连接。
[08-22 12:20:51]GateServer:127.0.0.1,3804come ! Socket num:3
[08-22 12:20:51]GateServer:127.0.0.1,3804go ! Socket num:2reason=(65534)程序采用的默认反连接。
[08-22 12:20:56]GateServer:127.0.0.1,3805come ! Socket num:3
[08-22 12:20:56]GateServer:127.0.0.1,3805go ! Socket num:2reason=(65534)程序采用的默认反连接。
[08-22 12:21:01]GateServer:127.0.0.1,3807come ! Socket num:3
[08-22 12:21:01]GateServer:127.0.0.1,3807go ! Socket num:2reason=(65534)程序采用的默认反连接。
[08-22 12:21:06]GateServer:127.0.0.1,3808come ! Socket num:3
[08-22 12:21:06]GateServer:127.0.0.1,3808go ! Socket num:2reason=(65534)程序采用的默认反连接。
[08-22 12:21:11]GateServer:127.0.0.1,3810come ! Socket num:3
[08-22 12:21:11]GateServer:127.0.0.1,3810go ! Socket num:2reason=(65534)程序采用的默认反连接。
[08-22 12:21:16]GateServer:127.0.0.1,3812come ! Socket num:3
[08-22 12:21:16]GateServer:127.0.0.1,3812go ! Socket num:2reason=(65534)程序采用的默认反连接。
[08-22 12:21:21]GateServer:127.0.0.1,3814come ! Socket num:3
[08-22 12:21:21]GateServer:127.0.0.1,3814go ! Socket num:2reason=(65534)程序采用的默认反连接。
[08-22 12:21:26]GateServer:127.0.0.1,3816come ! Socket num:3
[08-22 12:21:26]GateServer:127.0.0.1,3816go ! Socket num:2reason=(65534)程序采用的默认反连接。
[08-22 12:21:31]GateServer:127.0.0.1,3817come ! Socket num:3
[08-22 12:21:31]GateServer:127.0.0.1,3817go ! Socket num:2reason=(65534)程序采用的默认反连接。
[08-22 12:21:36]GateServer:127.0.0.1,3819come ! Socket num:3
[08-22 12:21:36]GateServer:127.0.0.1,3819go ! Socket num:2reason=(65534)程序采用的默认反连接。
[08-22 12:21:41]GateServer:127.0.0.1,3820come ! Socket num:3
[08-22 12:21:41]GateServer:127.0.0.1,3820go ! Socket num:2reason=(65534)程序采用的默认反连接。
[08-22 12:21:46]GateServer:127.0.0.1,3823come ! Socket num:3
[08-22 12:21:46]GateServer:127.0.0.1,3823go ! Socket num:2reason=(65534)程序采用的默认反连接。
[08-22 12:21:51]GateServer:127.0.0.1,3824come ! Socket num:3
