[08-25 06:31:02]Log stream open success.
[08-25 06:33:02]recieved kill acctid:[1] command(not in play list)!
[08-25 06:33:05](127.0.0.1)£º[test0001]login success, 	 nline/total:1/0
[08-25 06:33:53](127.0.0.1)£º[test0001]create char [8564543]£¬	 online/total:1/0
[08-25 06:33:59](127.0.0.1)£º[test0001]select char[8564543]begin paly...£¬	 online/total£º1/0
[08-25 06:34:01](127.0.0.1)£º[test0001]select char[8564543]begin paly...£¬	 online/total£º1/0
[08-25 06:34:07](127.0.0.1)£º[test0001]select char[ddasda]begin paly...£¬	 online/total£º1/0
[08-25 06:34:07](127.0.0.1):[test0001] char [ddasda]entry map server begin play...£¬	 online/total:1/1
[08-25 06:34:29](127.0.0.1)£º[test0001]logout,	 online/total:0/0
[08-25 07:19:07](127.0.0.1)£º[test0001]login success, 	 nline/total:1/0
[08-25 07:19:18](127.0.0.1)£º[test0001]select char[8564543]begin paly...£¬	 online/total£º1/0
[08-25 07:19:18](127.0.0.1):[test0001] char [8564543]entry map server begin play...£¬	 online/total:1/1
[08-25 09:40:10](127.0.0.1)£º[test0001]logout,	 online/total:0/0
[08-25 10:01:36](127.0.0.1)£º[test0001]login success, 	 nline/total:1/0
[08-25 10:02:15](127.0.0.1)£º[test0001]select char[8564543]begin paly...£¬	 online/total£º1/0
[08-25 10:02:15](127.0.0.1):[test0001] char [8564543]entry map server begin play...£¬	 online/total:1/1
[08-25 10:41:50](127.0.0.1)£º[test0001]logout,	 online/total:0/0
[08-25 16:09:58](127.0.0.1)£º[test0001]login success, 	 nline/total:1/0
[08-25 16:10:08](127.0.0.1)£º[test0001]select char[8564543]begin paly...£¬	 online/total£º1/0
[08-25 16:10:11](127.0.0.1):[test0001] char [8564543]entry map server begin play...£¬	 online/total:1/1
[08-25 16:13:16](127.0.0.1)£º[test0001]logout,	 online/total:0/0
[08-25 16:34:51](127.0.0.1)£º[test0001]login success, 	 nline/total:1/0
[08-25 16:41:47](127.0.0.1)£º[test0001]select char[8564543]begin paly...£¬	 online/total£º1/0
[08-25 16:41:47](127.0.0.1):[test0001] char [8564543]entry map server begin play...£¬	 online/total:1/1
[08-25 16:57:45](127.0.0.1)£º[test0001]logout,	 online/total:0/0
[08-25 16:59:41](127.0.0.1)£º[test0001]login success, 	 nline/total:1/0
[08-25 16:59:46](127.0.0.1)£º[test0001]select char[8564543]begin paly...£¬	 online/total£º1/0
[08-25 16:59:46](127.0.0.1):[test0001] char [8564543]entry map server begin play...£¬	 online/total:1/1
[08-25 17:11:10](127.0.0.1)£º[test0001]exit char[8564543]begin entry select char UI...£¬	 online/total:1/0
[08-25 17:11:33](127.0.0.1)£º[test0001]select char[8564543]begin paly...£¬	 online/total£º1/0
[08-25 17:11:33](127.0.0.1):[test0001] char [8564543]entry map server begin play...£¬	 online/total:1/1
[08-25 17:34:12](127.0.0.1)£º[test0001]exit char[8564543]begin entry select char UI...£¬	 online/total:1/0
[08-25 17:34:17](127.0.0.1)£º[test0001]select char[8564543]begin paly...£¬	 online/total£º1/0
[08-25 17:34:17](127.0.0.1):[test0001] char [8564543]entry map server begin play...£¬	 online/total:1/1
[08-25 17:35:04](127.0.0.1)£º[test0001]exit char[8564543]begin entry select char UI...£¬	 online/total:1/0
[08-25 17:40:32](127.0.0.1)£º[test0001]select char[8564543]begin paly...£¬	 online/total£º1/0
[08-25 17:40:33](127.0.0.1):[test0001] char [8564543]entry map server begin play...£¬	 online/total:1/1
[08-25 17:40:38](127.0.0.1)£º[test0001]exit char[8564543]begin entry select char UI...£¬	 online/total:1/0
[08-25 17:44:31](127.0.0.1)£º[test0001]select char[8564543]begin paly...£¬	 online/total£º1/0
[08-25 17:44:31](127.0.0.1):[test0001] char [8564543]entry map server begin play...£¬	 online/total:1/1
[08-25 17:44:38](127.0.0.1)£º[test0001]exit char[8564543]begin entry select char UI...£¬	 online/total:1/0
[08-25 17:45:15](127.0.0.1)£º[test0001]select char[8564543]begin paly...£¬	 online/total£º1/0
[08-25 17:45:15](127.0.0.1):[test0001] char [8564543]entry map server begin play...£¬	 online/total:1/1
[08-25 17:46:03](127.0.0.1)£º[test0001]logout,	 online/total:0/0
