[09-16 10:52:38]Log stream open success.
[09-16 17:35:26](127.0.0.1):[X3]login success, 	 nline/total:1/0
[09-16 17:35:50](127.0.0.1):[X3]select char[sala]begin paly...£¬	 online/total:1/0
[09-16 17:35:51](127.0.0.1):[X3] char [sala]entry map server begin play...£¬	 online/total:1/1
[09-16 18:01:04](127.0.0.1):[X3]logout,	 online/total:0/0
[09-16 18:01:56](127.0.0.1):[X3]login success, 	 nline/total:1/0
[09-16 18:02:25](127.0.0.1):[X3]select char[sala]begin paly...£¬	 online/total:1/0
[09-16 18:02:25](127.0.0.1):[X3] char [sala]entry map server begin play...£¬	 online/total:1/1
[09-16 18:03:54](127.0.0.1):[X3]logout,	 online/total:0/0
[09-16 18:06:56](127.0.0.1):[X3]login success, 	 nline/total:1/0
[09-16 18:07:00](127.0.0.1):[X3]select char[sala]begin paly...£¬	 online/total:1/0
[09-16 18:07:00](127.0.0.1):[X3] char [sala]entry map server begin play...£¬	 online/total:1/1
[09-16 18:10:53](127.0.0.1):[X3]logout,	 online/total:0/0
[09-16 18:13:47](127.0.0.1):[X3]login success, 	 nline/total:1/0
[09-16 18:13:51](127.0.0.1):[X3]select char[sala]begin paly...£¬	 online/total:1/0
[09-16 18:13:51](127.0.0.1):[X3] char [sala]entry map server begin play...£¬	 online/total:1/1
[09-16 18:18:14](127.0.0.1):[X3]logout,	 online/total:0/0
[09-16 18:20:03](127.0.0.1):[X3]login success, 	 nline/total:1/0
[09-16 18:20:15](127.0.0.1):[X3]select char[sala]begin paly...£¬	 online/total:1/0
[09-16 18:20:15](127.0.0.1):[X3] char [sala]entry map server begin play...£¬	 online/total:1/1
[09-16 18:20:26](127.0.0.1):[X3]logout,	 online/total:0/0
[09-16 18:21:17](127.0.0.1):[X3]login success, 	 nline/total:1/0
[09-16 18:21:27](127.0.0.1):[X3]select char[sala]begin paly...£¬	 online/total:1/0
[09-16 18:21:27](127.0.0.1):[X3] char [sala]entry map server begin play...£¬	 online/total:1/1
[09-16 18:21:34](127.0.0.1):[X3]logout,	 online/total:0/0
[09-16 18:22:18](127.0.0.1):[X3]login success, 	 nline/total:1/0
[09-16 18:22:29](127.0.0.1):[X3]select char[sala]begin paly...£¬	 online/total:1/0
[09-16 18:22:29](127.0.0.1):[X3] char [sala]entry map server begin play...£¬	 online/total:1/1
[09-16 18:22:36](127.0.0.1):[X3]logout,	 online/total:0/0
[09-16 18:23:58](127.0.0.1):[X3]login success, 	 nline/total:1/0
[09-16 18:24:13](127.0.0.1):[X3sala1/0
[09-16 18:24:17](127.0.0.1):[X3]select char[T22]begin paly...£¬	 online/total:1/0
[09-16 18:24:30](127.0.0.1):[X3]create char [675476547]£¬	 online/total:1/0
[09-16 18:24:33](127.0.0.1):[X3]select char[675476547]begin paly...£¬	 online/total:1/0
[09-16 18:24:34](127.0.0.1):[X3] char [675476547]entry map server begin play...£¬	 online/total:1/1
[09-16 18:24:43](127.0.0.1):[X3]logout,	 online/total:0/0
[09-16 18:26:44](127.0.0.1):[X3]login success, 	 nline/total:1/0
[09-16 18:26:55](127.0.0.1):[X3]select char[675476547]begin paly...£¬	 online/total:1/0
[09-16 18:26:55](127.0.0.1):[X3] char [675476547]entry map server begin play...£¬	 online/total:1/1
[09-16 18:27:03](127.0.0.1):[X3]logout,	 online/total:0/0
[09-16 18:28:56](127.0.0.1):[X3]login success, 	 nline/total:1/0
[09-16 18:29:08](127.0.0.1):[X3]select char[675476547]begin paly...£¬	 online/total:1/0
[09-16 18:29:22](127.0.0.1):[X3] char [675476547]entry map server begin play...£¬	 online/total:1/1
[09-16 18:29:31](127.0.0.1):[X3]logout,	 online/total:0/0
[09-16 18:30:29](127.0.0.1):[X3]login success, 	 nline/total:1/0
[09-16 18:30:40](127.0.0.1):[X3]select char[675476547]begin paly...£¬	 online/total:1/0
[09-16 18:31:00](127.0.0.1):[X3] char [675476547]entry map server begin play...£¬	 online/total:1/1
[09-16 18:31:12](127.0.0.1):[X3]logout,	 online/total:0/0
[09-16 18:32:12](127.0.0.1):[X3]login success, 	 nline/total:1/0
[09-16 18:32:24](127.0.0.1):[X3]select char[675476547]begin paly...£¬	 online/total:1/0
[09-16 18:32:26](127.0.0.1):[X3] char [675476547]entry map server begin play...£¬	 online/total:1/1
[09-16 18:32:34](127.0.0.1):[X3]logout,	 online/total:0/0
[09-16 18:36:09](127.0.0.1):[X3]login success, 	 nline/total:1/0
[09-16 18:36:19](127.0.0.1):[X3]select char[675476547]begin paly...£¬	 online/total:1/0
[09-16 18:36:44](127.0.0.1):[X3] char [675476547]entry map server begin play...£¬	 online/total:1/1
[09-16 18:36:51](127.0.0.1):[X3]logout,	 online/total:0/0
[09-16 18:38:01](127.0.0.1):[X3]login success, 	 nline/total:1/0
[09-16 18:38:07](127.0.0.1):[X3]select char[675476547]begin paly...£¬	 online/total:1/0
[09-16 18:38:24](127.0.0.1):[X3] char [675476547]entry map server begin play...£¬	 online/total:1/1
[09-16 18:40:22](127.0.0.1):[X3]logout,	 online/total:0/0
[09-16 18:43:56](127.0.0.1):[X3]login success, 	 nline/total:1/0
[09-16 18:44:00](127.0.0.1):[X3]select char[675476547]begin paly...£¬	 online/total:1/0
[09-16 18:46:40](127.0.0.1):[X3]logout,	 online/total:0/0
[09-16 18:47:23](127.0.0.1):[X3]login success, 	 nline/total:1/0
[09-16 18:47:32](127.0.0.1):[X3]select char[675476547]begin paly...£¬	 online/total:1/0
